,Author,Affiliation,Publication Date,Journal Title,Title,URL
55,Robert J. Hill,"University of New South Wales, Australia",2001/02/01,International Economic Review,Measuring Inflation and Growth Using Spanning Trees,https://onlinelibrary.wiley.com/doi/10.1111/1468-2354.00105
56,Atsushi Tsuneki,"Osaka University, Japan",2001/02/01,International Economic Review,A Partial Rehabilitation of Hotelling's MC-Pricing Theorem,https://onlinelibrary.wiley.com/doi/10.1111/1468-2354.00108
57,Anke S. Kessler,"University of Bonn, Germany",2001/02/01,International Economic Review,Revisiting the Lemons Market,https://onlinelibrary.wiley.com/doi/10.1111/1468-2354.00099
58,Gian Luigi Albano; Alessandro Lizzeri,"University College, London,; Princeton University, USA",2001/02/01,International Economic Review,Strategic Certification and Provision of Quality,https://onlinelibrary.wiley.com/doi/10.1111/1468-2354.00110
59,Fumio Hayashi,"University of Tokyo and NBER, Japan",2001/05/01,International Economic Review,Identifying a Liquidity Effect in the Japanese Interbank Market,https://onlinelibrary.wiley.com/doi/10.1111/1468-2354.00111
60,Illtae Ahn; Matti Suominen,"Korea Information Society Development Institute, Korea,; INSEAD, France",2001/05/01,International Economic Review,Word-Of-Mouth Communication and Community Enforcement,https://onlinelibrary.wiley.com/doi/10.1111/1468-2354.00115
61,Audra J. Bowlus; Nicholas M. Kiefer; George R. Neumann,"University of Western Ontario, Canada,; Cornell University, USA and CLS Aarhus and University of Aarhus, Denmark,; University of Iowa, USA and CLS Aarhus, Denmark",2001/05/01,International Economic Review,Equilibrium Search Models and the Transition From School To Work,https://onlinelibrary.wiley.com/doi/10.1111/1468-2354.00112
62,,,2001/05/01,International Economic Review,Publications Received,https://onlinelibrary.wiley.com/doi/10.1111/1468-2354.00122
63,Lutz Hendricks,"Arizona State University, USA",2001/05/01,International Economic Review,The Economic Performance of Immigrants: a Theory of Assortative Matching,https://onlinelibrary.wiley.com/doi/10.1111/1468-2354.00116
64,Kaz Miyagiwa; Yuka Ohno,"Emory University, USA,; Rice University, USA",2001/05/01,International Economic Review,Quota-Induced Cycles,https://onlinelibrary.wiley.com/doi/10.1111/1468-2354.00117
65,Jon Faust; Lars E. O. Svensson,"Board of Governors of the Federal Reserve System, USA and the Institute for International Economic Studies, Stockholm University, Sweden; Board of Governors of the Federal Reserve System, USA and the Institute for International Economic Studies, Stockholm University, Sweden",2001/05/01,International Economic Review,Transparency and Credibility: Monetary Policy With Unobservable Goals,https://onlinelibrary.wiley.com/doi/10.1111/1468-2354.00114
66,Timothy Cogley,"Arizona State University, USA",2001/05/01,International Economic Review,A Frequency Decomposition of Approximation Errors in Stochastic Discount Factor Models,https://onlinelibrary.wiley.com/doi/10.1111/1468-2354.00118
67,Christopher Otrok,"University of Virginia, USA",2001/05/01,International Economic Review,Spectral Welfare Cost Functions,https://onlinelibrary.wiley.com/doi/10.1111/1468-2354.00113
68,JoAnne Feeney; Arye L. Hillman,"University at Albany, USA,; Bar-Ilan University, Israel",2001/05/01,International Economic Review,Privatization and the Political Economy of Strategic Trade Policy,https://onlinelibrary.wiley.com/doi/10.1111/1468-2354.00120
69,Nancy H. Chau; M. Ali Khan,"Cornell University, USA,; The Johns Hopkins University, USA",2001/05/01,International Economic Review,Optimal Urban Employment Policies: Notes on Calvo and Quibria,https://onlinelibrary.wiley.com/doi/10.1111/1468-2354.00121
70,Ngo Van Long; Antoine Soubeyran,"CIRANO and McGill University, Canada,; GREQAM, Université de la Méditerranée, France",2001/05/01,International Economic Review,"Cost Manipulation Games in Oligopoly, With Costs of Manipulating",https://onlinelibrary.wiley.com/doi/10.1111/1468-2354.00119
71,James D. Jr. Dana,"Northwestern University, U.S.A.",2001/08/01,International Economic Review,Monopoly Price Dispersion Under Demand Uncertainty,https://onlinelibrary.wiley.com/doi/10.1111/1468-2354.00128
72,Larry Karp; Sandeep Sacheti; Jinhua Zhao,"University of California at Berkeley, American Express, and Iowa State University, U.S.A.,; University of California at Berkeley, American Express, and Iowa State University, U.S.A.,; University of California at Berkeley, American Express, and Iowa State University, U.S.A. jzhao@iastate.edu",2001/08/01,International Economic Review,Common Ground Between Free-Traders and Environmentalists,https://onlinelibrary.wiley.com/doi/10.1111/1468-2354.00127
73,Marcelo Veracierto,"1 Federal Reserve Bank of Chicago, U.S.A. mveracierto@frbchi.org and Universidad Torcuato di Tella, Argentina",2001/08/01,International Economic Review,"Employment Flows, Capital Mobility, and Policy Analysis",https://onlinelibrary.wiley.com/doi/10.1111/1468-2354.00125
74,Thomas A. Gresik; Edward C. Mansley,"University of Notre Dame,; University of Notre Dame,",2001/08/01,International Economic Review,The Strategic Effects of Batch Processing,https://onlinelibrary.wiley.com/doi/10.1111/1468-2354.00130
75,Paul De Hek; Santanu Roy,"University of Amsterdam, Rotterdam, The Netherlands,; Florida International University, Miami, U.S.A.",2001/08/01,International Economic Review,On Sustained Growth Under Uncertainty,https://onlinelibrary.wiley.com/doi/10.1111/1468-2354.00134
76,Jean-Marie Dufour; Joann Jasiak,"Université de Montréal,; York University, Canada",2001/08/01,International Economic Review,Finite Sample Limited Information Inference Methods for Structural Equations and Models With Generated Regressors,https://onlinelibrary.wiley.com/doi/10.1111/1468-2354.00135
77,Ken Burdett; Melvyn G. Coles,"University of Essex, United Kingdom; University of Essex, United Kingdom",2001/08/01,International Economic Review,Transplants and Implants: The Economics of Self-Improvement,https://onlinelibrary.wiley.com/doi/10.1111/1468-2354.00126
78,Makoto Yano,"Keio University, Japan",2001/08/01,International Economic Review,Trade Imbalance and Domestic Market Competition Policy,https://onlinelibrary.wiley.com/doi/10.1111/1468-2354.00131
79,,,2001/08/01,International Economic Review,Publications Received,https://onlinelibrary.wiley.com/doi/10.1111/1468-2354.00136
80,Emanuele Giovannetti,"University of Cambridge, United Kingdom and University of Rome “La Sapienza” Italy",2001/08/01,International Economic Review,Perpetual Leapfrogging in Bertrand Duopoly,https://onlinelibrary.wiley.com/doi/10.1111/1468-2354.00129
81,Helmuth Cremer; Pierre Pestieau; Jean-Charles Rochet,"IDEI and GREMAQ, University of Toulouse and Institut Universitaire de France,; CREPP, University of Liège, CORE and DELTA, Belgium,; IDEI and GREMAQ, University of Toulouse and Institut Universitaire de France, France",2001/08/01,International Economic Review,Direct Versus Indirect Taxation: The Design of the Tax Structure Revisited,https://onlinelibrary.wiley.com/doi/10.1111/1468-2354.00133
82,Todd R. Stinebrickner,"The University of Western Ontario, Canada",2001/08/01,International Economic Review,Compensation Policies and Teacher Decisions,https://onlinelibrary.wiley.com/doi/10.1111/1468-2354.00132
83,,,2001/11/01,International Economic Review,"Index to Volume 42, 2001",https://onlinelibrary.wiley.com/doi/10.1111/1468-2354.00148
84,Chang-Jin Kim; Charles R. Nelson,"Korea University, Korea,; University of Washington, U.S.A.",2001/11/01,International Economic Review,A Bayesian Approach To Testing for Markov-Switching in Univariate and Dynamic Factor Models,https://onlinelibrary.wiley.com/doi/10.1111/1468-2354.00143
85,Neil Wallace,"The Pennsylvania State University, U.S.A.",2001/11/01,International Economic Review,Whither Monetary Economics?,https://onlinelibrary.wiley.com/doi/10.1111/1468-2354.00137
86,,,2001/11/01,International Economic Review,Publications Received,https://onlinelibrary.wiley.com/doi/10.1111/1468-2354.00147
87,Yiting Li,"National Tsing Hua University, Taiwan",2001/11/01,International Economic Review,A Search Model of Money and Circulating Private Debt With Applications To Monetary Policy,https://onlinelibrary.wiley.com/doi/10.1111/1468-2354.00140
88,Stéphane Pallage; Christian Zimmermann,"Université du Québec à Montréal and CREFE, Canada; Université du Québec à Montréal and CREFE, Canada",2001/11/01,International Economic Review,Voting on Unemployment Insurance,https://onlinelibrary.wiley.com/doi/10.1111/1468-2354.00139
89,Betty C. Daniel,"The University at Albany, SUNY, U.S.A.",2001/11/01,International Economic Review,A Fiscal Theory of Currency Crises,https://onlinelibrary.wiley.com/doi/10.1111/1468-2354.00142
90,Michael P. Keane; Kenneth I. Wolpin,"New York University and Yale University, U.S.A. and University of Pennsylvania, U.S.A.; New York University and Yale University, U.S.A. and University of Pennsylvania, U.S.A.",2001/11/01,International Economic Review,The Effect of Parental Transfers and Borrowing Constraints on Educational Attainment,https://onlinelibrary.wiley.com/doi/10.1111/1468-2354.00146
91,Barbara J. Spencer; Larry D. Qiu,"University of British Columbia, Canada, and the NBER,; Hong Kong University of Science and Technology, Hong Kong",2001/11/01,International Economic Review,Keiretsu and Relationship-Specific Investment: A Barrier To Trade?,https://onlinelibrary.wiley.com/doi/10.1111/1468-2354.00138
92,Mark P. Taylor; David A. Peel; Lucio Sarno,"University of Warwick and CEPR, London,; University of Cardiff,; University of Oxford and CEPR, London, United Kingdom",2001/11/01,International Economic Review,Nonlinear Mean-Reversion in Real Exchange Rates: Toward a Solution To the Purchasing Power Parity Puzzles,https://onlinelibrary.wiley.com/doi/10.1111/1468-2354.00144
93,Philippe Martin; Gianmarco I. P. Ottaviano,"CERAS-ENPC, Université de lille-1, France and CEPR, United Kingdom,; Università di Bologna, Italy and CEPR",2001/11/01,International Economic Review,Growth and Agglomeration,https://onlinelibrary.wiley.com/doi/10.1111/1468-2354.00141
94,Kenneth D. West,"University of Wisconsin, U.S.A.",2001/11/01,International Economic Review,On Optimal Instrumental Variables Estimation of Stationary Time Series Models,https://onlinelibrary.wiley.com/doi/10.1111/1468-2354.00145
95,RUSSELL COOPER; THOMAS W.  ROSS1,"Boston University, U.S.A. and University of British Columbia, Canada; Boston University, U.S.A. and University of British Columbia, Canada",2002/02/01,International Economic Review,BANK RUNS: DEPOSIT INSURANCE AND CAPITAL REQUIREMENTS*,https://onlinelibrary.wiley.com/doi/10.1111/1468-2354.t01-1-00003
96,DALE T.  MORTENSEN; RANDALL WRIGHT1,"Northwestern University and University of Pennsylvania, U.S.A.; Northwestern University and University of Pennsylvania, U.S.A.",2002/02/01,International Economic Review,COMPETITIVE PRICING AND EFFICIENCY IN SEARCH EQUILIBRIUM*,https://onlinelibrary.wiley.com/doi/10.1111/1468-2354.t01-1-00001
97,SHOUYONG SHI1,"Indiana University, U.S.A. and Center of Research on Economic Fluctuations and Employment (CREFE), Quebec, Canada",2002/02/01,International Economic Review,PRODUCT MARKET AND THE SIZE–WAGE DIFFERENTIAL*,https://onlinelibrary.wiley.com/doi/10.1111/1468-2354.t01-1-00002
98,MEHMET BAC1,"Bilkent University, Turkey and Sabanci University, Turkey",2002/02/01,International Economic Review,ON THE INFORMATIONAL CONTENT OF WAGE OFFERS*,https://onlinelibrary.wiley.com/doi/10.1111/1468-2354.t01-1-00008
99,ELIZABETH M.  CAUCUTT1,"University of Rochester, U.S.A.",2002/02/01,International Economic Review,EDUCATIONAL VOUCHERS WHEN THERE ARE PEER GROUP EFFECTS—SIZE MATTERS*,https://onlinelibrary.wiley.com/doi/10.1111/1468-2354.t01-1-00009
100,BERTRAND M.  KOEBEL1,"Otto-von-Guericke University, Magdeburg, Germany",2002/02/01,International Economic Review,CAN AGGREGATION ACROSS GOODS BE ACHIEVED BY NEGLECTING THE PROBLEM? PROPERTY INHERITANCE AND AGGREGATION BIAS*,https://onlinelibrary.wiley.com/doi/10.1111/1468-2354.t01-1-00010
101,JAMES ALBRECHT; SUSAN VROMAN1,"Georgetown University, U.S.A.; Georgetown University, U.S.A.",2002/02/01,International Economic Review,A MATCHING MODEL WITH ENDOGENOUS SKILL REQUIREMENTS>*,https://onlinelibrary.wiley.com/doi/10.1111/1468-2354.t01-1-00012
102,MAARTEN C. W.  JANSSEN; SANTANU ROY1,"Erasmus University, The Netherlands and Florida International University, U.S.A.; Erasmus University, The Netherlands and Florida International University, U.S.A.",2002/02/01,International Economic Review,DYNAMIC TRADING IN A DURABLE GOOD MARKET WITH ASYMMETRIC INFORMATION*,https://onlinelibrary.wiley.com/doi/10.1111/1468-2354.t01-1-00011
103,SUBHASH C.  SHARMA1,"Southern Illinois University, U.S.A.",2002/02/01,International Economic Review,THE MORISHIMA ELASTICITY OF SUBSTITUTION FOR THE VARIABLE PROFIT FUNCTION AND THE DEMAND FOR IMPORTS IN THE UNITED STATES*,https://onlinelibrary.wiley.com/doi/10.1111/1468-2354.t01-1-00005
104,TITO CORDELLA; MANJIRA DATTA,"International Monetary Fund, U.S.A. and Arizona State University, U.S.A.; International Monetary Fund, U.S.A. and Arizona State University, U.S.A.",2002/02/01,International Economic Review,INTERTEMPORAL COURNOT AND WALRAS EQUILIBRIA: AN ILLUSTRATION*,https://onlinelibrary.wiley.com/doi/10.1111/1468-2354.t01-1-00006
105,MAXIM ENGERS; STEVEN STERN1,"University of Virginia, U.S.A.; University of Virginia, U.S.A.",2002/02/01,International Economic Review,LONG-TERM CARE AND FAMILY BARGAINING*,https://onlinelibrary.wiley.com/doi/10.1111/1468-2354.t01-1-00004
106,JAN K.  BRUECKNER; JACQUES-FRANÇOIS THISSE; YVES ZENOU,"University of Illinois at Urbana Champaign, U.S.A.; CORE, Université Catholique de Louvain, Belgium, CERAS, Ecole Nationale des Ponts et Chaussees, France; and University of Southampton, United Kingdom, GAINS; University of Illinois at Urbana Champaign, U.S.A.; CORE, Université Catholique de Louvain, Belgium, CERAS, Ecole Nationale des Ponts et Chaussees, France; and University of Southampton, United Kingdom, GAINS; University of Illinois at Urbana Champaign, U.S.A.; CORE, Université Catholique de Louvain, Belgium, CERAS, Ecole Nationale des Ponts et Chaussees, France; and University of Southampton, United Kingdom, GAINS",2002/02/01,International Economic Review,"LOCAL LABOR MARKETS, JOB MATCHING, AND URBAN LOCATION*",https://onlinelibrary.wiley.com/doi/10.1111/1468-2354.t01-1-00007
107,Alok Johri; John Leach,"McMaster University, Canada",2002/05/01,International Economic Review,Middlemen and the Allocation of Heterogeneous Goods*,https://onlinelibrary.wiley.com/doi/10.1111/1468-2354.t01-1-00018
108,Manjira Datta; Leonard J. Mirman; Edward E. Schlee,,2002/05/01,International Economic Review,Optimal Experimentation in Signal-Dependent Decision Problems*,https://onlinelibrary.wiley.com/doi/10.1111/1468-2354.t01-1-00028
109,Christian Schluter and Mark Trede,,2002/05/01,International Economic Review,Statistical Inference for Inequality and Poverty Measurement with Dependent Data*,https://onlinelibrary.wiley.com/doi/10.1111/1468-2354.t01-1-00024
110,Yeon-Koo Che,,2002/05/01,International Economic Review,The Economics of Collective Negotiation in Pretrial Bargaining* ,https://onlinelibrary.wiley.com/doi/10.1111/1468-2354.t01-1-00027
111,GenÇay Ramazan; Ballocchi Giuseppe; Dacorogna Michel; Olsen Richard; Pictet Olivier,"University of Windsor, Canada; Olsen & Associates, Switzerland; Converium, Switzerland; Dynamic Asset Management, Switzerland; University of Windsor, Canada; Olsen & Associates, Switzerland; Converium, Switzerland; Dynamic Asset Management, Switzerland; University of Windsor, Canada; Olsen & Associates, Switzerland; Converium, Switzerland; Dynamic Asset Management, Switzerland; University of Windsor, Canada; Olsen & Associates, Switzerland; Converium, Switzerland; Dynamic Asset Management, Switzerland",2002/05/01,International Economic Review,Real-Time Trading Models and the Statistical Properties of Foreign Exchange Rates*,https://onlinelibrary.wiley.com/doi/10.1111/1468-2354.t01-2-00023
112,Sattinger Michael,"University at Albany, State University of New York, U.S.A.",2002/05/01,International Economic Review,A Queuing Model of the Market for Access to Trading Partners*,https://onlinelibrary.wiley.com/doi/10.1111/1468-2354.t01-1-00026
