Author,Affiliation,Publication Date,Journal Title,Title,Volume,URL,,,,,,
"Aretz, Kevin; Lin, Ming-Tsung; Poon, Ser-Huang","Alliance Manchester Business School ,  UK; Essex Business School ,  UK; Alliance Manchester Business School ,  UK",2022/1/18,Review of Finance,"Moneyness, Underlying Asset Volatility, and the Cross-Section of Option Returns*",27,https://academic.oup.com/rof/article/27/1/289/6510952,,,,,,
"Arnold, Marc; Hackbarth, Dirk; Xenia Puhan, Tatjana",University of St. Gallen; Boston University; University of Mannheim,2017/8/22,Review of Finance,Financing Asset Sales and Business Cycles*,22,https://academic.oup.com/rof/article/22/1/243/4091032,,,,,,
"Arping, Stefan","Amsterdam Business School, University of Amsterdam",2018/6/13,Review of Finance,Capital Regulation and Bank Deposits*,23,https://academic.oup.com/rof/article/23/4/831/5036794,,,,,,
"Arteta, Carlos; Carey, Mark; Correa, Ricardo; Kotter, Jason",World Bank; GARP Risk Institute; Federal Reserve Board; Brigham Young University,2019/9/3,Review of Finance,Revenge of the Steamroller: ABCP as a Window on Risk Choices*,24,https://academic.oup.com/rof/article/24/3/497/5559496,,,,,,
"Atanasov, Vladimir; Merrick, John J.; Schuster, Philipp","1 Mason School of Business, College of William and Mary; 1 Mason School of Business, College of William and Mary; 2 Karlsruhe Institute of Technology",2016/7/6,Review of Finance,Why Do Dealers Buy High and Sell Low? An Analysis of Persistent Crossing in Extremely Segmented Markets*,21,https://academic.oup.com/rof/article/21/2/719/2670106,,,,,,
"Avdjiev, Stefan; Takáts, El?d",Bank for International Settlements; Bank for International Settlements,2018/10/10,Review of Finance,Monetary Policy Spillovers and Currency Networks in Cross-Border Bank Lending: Lessons from the 2013 Fed Taper Tantrum*,23,https://academic.oup.com/rof/article/23/5/993/5126240,,,,,,
"Avery, Christopher N.; Chevalier, Judith A.; Zeckhauser, Richard J.","Harvard Kennedy School of Government and NBER,; Yale School of Management and NBER, and; Harvard Kennedy School of Government and NBER",2015/9/4,Review of Finance,The ?�CAPS??Prediction System and Stock Market Returns*,20,https://academic.oup.com/rof/article/20/4/1363/1753416,,,,,,
"Avramov, Doron; Chordia, Tarun; Jostova, Gergana; Philipov, Alexander","IDC Herzliya; Emory University; George Washington University; George Mason University, School of Business",2021/9/8,Review of Finance,The Distress Anomaly is Deeper than You Think: Evidence from Stocks and Bonds*,26,https://academic.oup.com/rof/article/26/2/355/6366564,,,,,,
"Ayyagari, Meghana; Juarros, Pedro; Martinez Peria, Maria Soledad; Singh, Sandeep","School of Business and Elliott School of International Affairs, George Washington University; Georgetown University; IMF Research Department; IFC",2021/3/20,Review of Finance,Access to Finance and Job Growth: Firm-Level Evidence across Developing Countries*,25,https://academic.oup.com/rof/article/25/5/1473/6179084,,,,,,
"Baba Yara, Fahiz; Boons, Martijn; Tamoni, Andrea",Nova SBE; Nova SBE; Rutgers Business School,2020/3/27,Review of Finance,Value Return Predictability across Asset Classes and Commonalities in Risk Premia*,25,https://academic.oup.com/rof/article/25/2/449/5812791,,,,,,
"Bach, Laurent",Stockholm School of Economics &amp; Swedish House of Finance,2013/6/28,Review of Finance,Are Small Businesses Worthy of Financial Aid? Evidence from a French Targeted Credit Program*,18,https://academic.oup.com/rof/article/18/3/877/1573387,,,,,,
"Bagliano, Fabio C.; Fugazza, Carolina; Nicodano, Giovanna","Universit? di Torino and CeRP (Collegio Carlo Alberto), Universit? di Milano-Bicocca and CeRP (Collegio Carlo Alberto), and Universit? di Torino and CeRP (Collegio Carlo Alberto); Universit? di Torino and CeRP (Collegio Carlo Alberto), Universit? di Milano-Bicocca and CeRP (Collegio Carlo Alberto), and Universit? di Torino and CeRP (Collegio Carlo Alberto); Universit? di Torino and CeRP (Collegio Carlo Alberto), Universit? di Milano-Bicocca and CeRP (Collegio Carlo Alberto), and Universit? di Torino and CeRP (Collegio Carlo Alberto)",2013/10/31,Review of Finance,Optimal Life-Cycle Portfolios for Heterogeneous Workers*,18,https://academic.oup.com/rof/article/18/6/2283/1661337,,,,,,
"Balloch, Adnan; Nicolae, Anamaria; Philip, Dennis",Durham University Business School; Durham University Business School; Durham University Business School,2014/9/18,Review of Finance,"Stock Market Literacy, Trust, and Participation*",19,https://academic.oup.com/rof/article/19/5/1925/1587430,,,,,,
"Bandarchuk, Pavel; Hilscher, Jens","State Street Global Advisors, and Brandeis University; State Street Global Advisors, and Brandeis University",2012/1/16,Review of Finance,Sources of Momentum Profits: Evidence on the Irrelevance of Characteristics*,17,https://academic.oup.com/rof/article/17/2/809/1596247,,,,,,
"Bannier, Christina E.; Feess, Eberhard; Packham, Natalie",Frankfurt School of Finance &amp; Management; Frankfurt School of Finance &amp; Management; Frankfurt School of Finance &amp; Management,2012/2/27,Review of Finance,"Competition, Bonuses, and Risk-taking in the Banking Industry*",17,https://academic.oup.com/rof/article/17/2/653/1597445,,,,,,
"Barigozzi, Francesca; Tedeschi, Piero",University of Bologna and Universit? Cattolica del Sacro Cuore?�Milano; University of Bologna and Universit? Cattolica del Sacro Cuore?�Milano,2014/7/8,Review of Finance,Credit Markets with Ethical Banks and Motivated Borrowers*,19,https://academic.oup.com/rof/article/19/3/1281/1598025,,,,,,
"Bartram, Söhnke M.",Warwick Business School,2015/6/8,Review of Finance,Corporate Post-Retirement Benefit Plans and Leverage *,20,https://academic.oup.com/rof/article/20/2/575/2461411,,,,,,
"Basten, Christoph","University of Zurich, SFI, and CESifo",2019/6/6,Review of Finance,Higher Bank Capital Requirements and Mortgage Pricing: Evidence from the Counter-Cyclical Capital Buffer*,24,https://academic.oup.com/rof/article/24/2/453/5511842,,,,,,
"Bateman, Hazel; Eckert, Christine; Geweke, John; Louviere, Jordan; Satchell, Stephen; Thorp, Susan","University of New South Wales,; University of Technology, Sydney,; University of Technology, Sydney,; University of South Australia,; University of Cambridge, and    University of Sydney; University of Sydney",2015/3/2,Review of Finance,Risk Presentation and Portfolio Choice,20,https://academic.oup.com/rof/article/20/1/201/2461262,,,,,,
"Bauer, Michael D.; Rudebusch, Glenn D.",,2016/10/7,Review of Finance,Resolving the Spanning Puzzle in Macro-Finance Term Structure Models*,21,https://academic.oup.com/rof/article/21/2/511/2670354,,,,,,
"Bechtel, Alexander; Ranaldo, Angelo; Wrampelmeyer, Jan","University of St. Gallen , St. Gallen and Swiss Finance Institute,  Switzerland; University of St. Gallen , St. Gallen and Swiss Finance Institute,  Switzerland; VU Amsterdam , Amsterdam,  The Netherlands    Tinbergen Institute , Amsterdam,  The Netherlands",2022/3/25,Review of Finance,Liquidity Risk and Funding Cost,27,https://academic.oup.com/rof/article/27/2/399/6554206,,,,,,
"Beck, Thorsten; Behr, Patrick; Guettler, Andre","CentER, Department of Economics and European Banking Center, Tilburg University and CEPR, Brazilian School of Public and Business Administration (EBAPE), Getulio Vargas Foundation and Department of Finance, Accounting, and Real Estate, EBS Business School; CentER, Department of Economics and European Banking Center, Tilburg University and CEPR, Brazilian School of Public and Business Administration (EBAPE), Getulio Vargas Foundation and Department of Finance, Accounting, and Real Estate, EBS Business School; CentER, Department of Economics and European Banking Center, Tilburg University and CEPR, Brazilian School of Public and Business Administration (EBAPE), Getulio Vargas Foundation and Department of Finance, Accounting, and Real Estate, EBS Business School",2012/10/18,Review of Finance,Gender and Banking: Are Women Better Loan Officers?*,17,https://academic.oup.com/rof/article/17/4/1279/1571857,,,,,,
"Becker, Bo; Ivashina, Victoria",Stockholm School of Economics and CEPR; Harvard University and NBER,2017/9/11,Review of Finance,Financial Repression in the European Sovereign Debt Crisis*,22,https://academic.oup.com/rof/article/22/1/83/4110797,,,,,,
"Becker, Sascha O; Hvide, Hans K","Monash U, Warwick U, CAGE, CEPR, CESifo, CReAM, Ifo, IZA, ROA and SoDa Labs; University of Bergen, CEPR and University of Aberdeen",2021/5/22,Review of Finance,Entrepreneur Death and Startup Performance*,26,https://academic.oup.com/rof/article/26/1/163/6281083,,,,,,
"Benamar, Hedi",Board of Governors of the Federal Reserve System,2018/2/24,Review of Finance,To See Is to Know: Simultaneous Display of Market Data for Retail Investors*,23,https://academic.oup.com/rof/article/23/2/397/4910779,,,,,,
"Ben-David, Itzhak; Birru, Justin; Prokopenya, Viktor","Fisher College of Business, The Ohio State University and NBER; Fisher College of Business, The Ohio State University; Exp(Capital)",2018/7/10,Review of Finance,Uninformative Feedback and Risk Taking: Evidence from Retail Forex Trading*,22,https://academic.oup.com/rof/article/22/6/2009/5051186,,,,,,
"Bender, Jennifer C.; Osler, carol L.; Simon, David","1 Morgan Stanley Capital International Barra, Brandeis International Business School; 1 Morgan Stanley Capital International Barra, Brandeis International Business School; 1 Morgan Stanley Capital International Barra, Brandeis International Business School",2012/2/27,Review of Finance,Noise Trading and Illusory Correlations in US Equity Markets*,17,https://academic.oup.com/rof/article/17/2/625/1596704,,,,,,
"Benmelech, Efraim; Bergman, Nittai; Seru, Amit","Kellogg School of Management, Northwestern University, and NBER; Berglas School of Economics, Tel Aviv University; Stanford GSB , Hoover, and NBER",2021/5/14,Review of Finance,Financing Labor*,25,https://academic.oup.com/rof/article/25/5/1365/6275768,,,,,,
"Bennardo, Alberto; Pagano, Marco; Piccolo, Salvatore","University of Salerno and CSEF, University of Naples Federico II, CSEF, EIEF, CFS and CEPR and Catholic University of Milan and CSEF; University of Salerno and CSEF, University of Naples Federico II, CSEF, EIEF, CFS and CEPR and Catholic University of Milan and CSEF; University of Salerno and CSEF, University of Naples Federico II, CSEF, EIEF, CFS and CEPR and Catholic University of Milan and CSEF",2014/2/18,Review of Finance,"Multiple Bank Lending, Creditor Rights, and Information Sharing*",19,https://academic.oup.com/rof/article/19/2/519/1579741,,,,,,
"Benoit, Sylvain; Colliard, Jean-Edouard; Hurlin, Christophe; Pérignon, Christophe","1 Université Paris-Dauphine,; 2 HEC Paris, and; 3 Université d'Orléans (LEO, UMR CNRS 7322); 2 HEC Paris, and",2016/6/1,Review of Finance,Where the Risks Lie: A Survey on Systemic Risk*,21,https://academic.oup.com/rof/article/21/1/109/2670094,,,,,,
"Benoit, Sylvain; Hurlin, Christophe; Perignon, Christophe",Université d?�Orléans and; Université d?�Orléans and; HEC Paris,2015/1/8,Review of Finance,Implied Risk Exposures*,19,https://academic.oup.com/rof/article/19/6/2183/1575896,,,,,,
"Ben-Rephael, Azi; Israelsen, Ryan D","Kelley School of Business, Indiana University; Broad College of Business, Michigan State University",2017/9/14,Review of Finance,Are Some Clients More Equal Than Others? An Analysis of Asset Management Companies??Execution Costs*,22,https://academic.oup.com/rof/article/22/5/1705/4158147,,,,,,
"Ben-Rephael, Azi; Oded, Jacob; Wohl, Avi","Kelley School of Business, Indiana University and The Leon Recanati Graduate School of Business Administration, Tel Aviv University; Kelley School of Business, Indiana University and The Leon Recanati Graduate School of Business Administration, Tel Aviv University; Kelley School of Business, Indiana University and The Leon Recanati Graduate School of Business Administration, Tel Aviv University",2013/8/26,Review of Finance,Do Firms Buy Their Stock at Bargain Prices? Evidence from Actual Stock Repurchase Disclosures*,18,https://academic.oup.com/rof/article/18/4/1299/1606154,,,,,,
"Berg, Florian; Kölbel, Julian F; Rigobon, Roberto","MIT Sloan ,  USA; MIT Sloan ,  USA    University of Zurich ,  Switzerland; MIT Sloan ,  USA",2022/5/23,Review of Finance,Aggregate Confusion: The Divergence of ESG Ratings*,26,https://academic.oup.com/rof/article/26/6/1315/6590670,,,,,,
"Berg, Gunhild; Kirschenmann, Karolin",The World Bank; Aalto University School of Business; The World Bank; Aalto University School of Business,2014/6/4,Review of Finance,Funding Versus Real Economy Shock: The Impact of the 2007??9 Crisis on Small Firms??Credit Availability*,19,https://academic.oup.com/rof/article/19/3/951/1596581,,,,,,
"Berg, Tobias; Puri, Manju; Rocholl, Jörg",Frankfurt School of Finance &amp; Management; Duke University    NBER; ESMT  Berlin   CEPR    ECGI,2019/8/28,Review of Finance,"Loan Officer Incentives, Internal Rating Models, and Default Rates*",24,https://academic.oup.com/rof/article/24/3/529/5555815,,,,,,
"Berger, Allen N.; Cerqueiro, Geraldo; Penas, María Fabiana","University of South Carolina, Wharton Financial Institutions Center, and European Banking Center,; Catolica Lisbon School of Business and Economics, and; Tilburg University, European Banking Center, and Tilburg Law and Economics Center",2014/9/30,Review of Finance,Market Size Structure and Small Business Lending: Are Crisis Times Different from Normal Times?*,19,https://academic.oup.com/rof/article/19/5/1965/1587650,,,,,,
"Berkman, Henk; McKenzie, Michael D.; Verwijmeren, Patrick",1 University of Auckland; 2 University of Liverpool and University of Sydney; 3 Erasmus School of Economics and the University of Melbourne,2016/7/27,Review of Finance,Hole in the Wall: Informed Short Selling Ahead of Private Placements*,21,https://academic.oup.com/rof/article/21/3/1047/2670111,,,,,,
"Berndt, Antje; Douglas, Rohan; Duffie, Darrell; Ferguson, Mark","Research School of Finance, Actuarial Studies and Statistics, Australian National University; Quantifi, Inc.; Graduate School of Business, Stanford University; Independent Quantitative Finance Contractor",2018/1/27,Review of Finance,Corporate Credit Risk Premia,22,https://academic.oup.com/rof/article/22/2/419/4828075,,,,,,
"Bernile, Gennaro; Lyandres, Evgeny","School of Business, University of Miami; Questrom School of Business, Boston University, and IDC",2018/5/29,Review of Finance,"The Effects of Horizontal Merger Operating Efficiencies on Rivals, Customers, and Suppliers*",23,https://academic.oup.com/rof/article/23/1/117/5018712,,,,,,
"Bertrand, Marianne; Kramarz, Francis; Schoar, Antoinette; Thesmar, David","University of Chicago Graduate School of Business, NBER, CEPR, and IZA; CREST-ENSAE and CEPR; MIT Sloan, NBER, and CEPR; MIT Sloan and CEPR",2018/3/7,Review of Finance,The Cost of Political Connections*,22,https://academic.oup.com/rof/article/22/3/849/4924547,,,,,,
"Berzins, Janis; Bøhren, ?yvind; Stacescu, Bogdan",BI Norwegian Business School; BI Norwegian Business School; BI Norwegian Business School,2017/10/11,Review of Finance,Shareholder Conflicts and Dividends*,22,https://academic.oup.com/rof/article/22/5/1807/4459245,,,,,,
"Bessler, Wolfgang; Blake, David; Lückoff, Peter; Tonks, Ian","Justus Liebig University Giessen and Center for Financial Studies, Goethe University Frankfurt; Pensions Institute, Cass Business School, City University of London; Pensions Institute, Cass Business School, City University of London  Deutsche Asset Management; University of Bath",2017/5/17,Review of Finance,"Fund Flows, Manager Changes, and Performance Persistence*",22,https://academic.oup.com/rof/article/22/5/1911/3829677,,,,,,
"Betzer, André; Gider, Jasmin; Metzger, Daniel; Theissen, Erik","BUW-Schumpeter School of Business and Economics, University of Bonn, Stockholm School of Economics and University of Mannheim and Centre for Financial Research (Cologne); BUW-Schumpeter School of Business and Economics, University of Bonn, Stockholm School of Economics and University of Mannheim and Centre for Financial Research (Cologne); BUW-Schumpeter School of Business and Economics, University of Bonn, Stockholm School of Economics and University of Mannheim and Centre for Financial Research (Cologne); BUW-Schumpeter School of Business and Economics, University of Bonn, Stockholm School of Economics and University of Mannheim and Centre for Financial Research (Cologne)",2014/3/13,Review of Finance,Stealth Trading and Trade Reporting by Corporate Insiders*,19,https://academic.oup.com/rof/article/19/2/865/1581521,,,,,,
"Beyhaghi, Mehdi",,2021/5/26,Review of Finance,Third-Party Credit Guarantees and the Cost of Debt: Evidence from Corporate Loans*,26,https://academic.oup.com/rof/article/26/2/287/6275245,,,,,,
"Bhattacharya, Utpal; E. Jacobsen, Stacey",Hong Kong University of Science and Technology and; Southern Methodist University,2015/5/27,Review of Finance,The Share Repurchase Announcement Puzzle: Theory and Evidence *,20,https://academic.oup.com/rof/article/20/2/725/2461385,,,,,,
"Bhattacharya, Utpal; Huang, Daisy; Nielsen, Kasper Meisner","Hong Kong University of Science and Technology; Research Institute of Economics and Management, Southwestern University of Finance and Economics; Copenhagen Business School",2020/10/15,Review of Finance,Spillovers in Prices: The Curious Case of Haunted Houses*,25,https://academic.oup.com/rof/article/25/3/903/5924383,,,,,,
