Author,Affiliation,Publication Date,Journal Title,Title,Volume,Issue,URL
Michael Pflüger; Jens Suedekum,"University of Passau, DIW Berlin, IZA, Germany; University of Duisburg–Essen, Ruhr Graduate School of Economics, IZA, CESifo, Germany",2013/01/01,Journal of Public Economics,Subsidizing firm entry in open economies,97.0,0,https://www.sciencedirect.com/science/article/pii/S0047272712000734
Joppe de Ree; Rob Alessie; Menno Pradhan,"The World Bank, Jl. Jenderal Sudirman Kav 52-53, Jakarta 12190, Indonesia; University of Groningen, P.O. Box 800, 9700 AV Groningen, The Netherlands; Netspar, P.O. Box 800, 9700 AV Groningen, The Netherlands; VU University Amsterdam, De Boelelaan 1105, 1081 HV, Amsterdam, The Netherlands; University of Amsterdam, De Boelelaan 1105, 1081 HV, Amsterdam, The Netherlands",2013/01/01,Journal of Public Economics,The price and utility dependence of equivalence scales: Evidence from Indonesia,97.0,0,https://www.sciencedirect.com/science/article/pii/S0047272712001053
Dan Anderberg; Helmut Rainer,"Royal Holloway University of London, Institute for Fiscal Studies, Egham, Surrey, UK; University of Munich, CESifo, Ifo Institute for Economic Research, Munich, Germany",2013/01/01,Journal of Public Economics,Economic abuse: A theory of intrahousehold sabotage,97.0,0,https://www.sciencedirect.com/science/article/pii/S0047272712001168
Ian A. MacKenzie; Markus Ohndorf,"School of Economics, The University of Queensland, Brisbane QLD 4072, Australia; Institute for Environmental Decisions, ETH Zürich, 8092, Switzerland",2013/01/01,Journal of Public Economics,Restricted Coasean bargaining,97.0,0,https://www.sciencedirect.com/science/article/pii/S0047272712001302
Guido Schwerdt; Martin R. West,"CESifo, Germany; Ifo Institute for Economic Research, Germany; IZA, Germany; Harvard Graduate School of Education, United States",2013/01/01,Journal of Public Economics,The impact of alternative grade configurations on student outcomes through middle and high school,97.0,0,https://www.sciencedirect.com/science/article/pii/S0047272712001107
Margaret E. Blume-Kohout; Neeraj Sood,"Robert Wood Johnson Foundation Center for Health Policy and Department of Economics, MSC05 3060, University of New Mexico, Albuquerque, NM 87131-0001, United States; Schaeffer Center for Health Policy and Economics and Department of Pharmaceutical Economics and Policy, University of Southern California, 3335 South Figueroa St, University Park Campus, UGW-Unit A, Los Angeles, CA 90089, United States",2013/01/01,Journal of Public Economics,Market size and innovation: Effects of Medicare Part D on pharmaceutical research and development,97.0,0,https://www.sciencedirect.com/science/article/pii/S0047272712001119
,,2013/02/01,Journal of Public Economics,Editorial Board,98.0,0,https://www.sciencedirect.com/science/article/pii/S0047272713000212
Kristine M. Brown,"University of Illinois at Urbana-Champaign, 504 E. Armory Ave., Champaign, IL 61820, United States",2013/02/01,Journal of Public Economics,The link between pensions and retirement timing: Lessons from California teachers,98.0,0,https://www.sciencedirect.com/science/article/pii/S0047272712001156
Caterina Calsamiglia; Jörg Franke; Pedro Rey-Biel,"Universitat Autònoma de Barcelona, Department d'Economia i d'Historia Econòmica, 08193, Bellaterra, Barcelona, Spain; Barcelona GSE, Spain; Department of Economics and Social Science, TU Dortmund, 44227 Dortmund, Germany",2013/02/01,Journal of Public Economics,The incentive effects of affirmative action in a real-effort tournament,98.0,0,https://www.sciencedirect.com/science/article/pii/S0047272712001314
Liguo Lin,"School of Economics, Shanghai University of Finance and Economics, Shanghai 200433, China; Key Laboratory of Mathematical Economics (SUFE), Ministry of Education, Shanghai 200433, China",2013/02/01,Journal of Public Economics,Enforcement of pollution levies in China,98.0,0,https://www.sciencedirect.com/science/article/pii/S004727271200134X
,,,,,,,https://www.sciencedirect.com/science/article/pii/S0047272712001363
Svetlana Pashchenko,"Uppsala Center for Fiscal Studies, Department of Economics, Uppsala University, Sweden",2013/02/01,Journal of Public Economics,Accounting for non-annuitization,98.0,0,https://www.sciencedirect.com/science/article/pii/S0047272712001351
,,,,,,,https://www.sciencedirect.com/science/article/pii/S0047272712001375
Cameron J. Hepburn; John K.-H. Quah; Robert A. Ritz,"The Grantham Research Institute, London School of Economics and Political Science, United Kingdom; Department of Economics, Oxford University, United Kingdom; Faculty of Economics and Electricity Policy Research Group, Cambridge University, United Kingdom",2013/02/01,Journal of Public Economics,Emissions trading with profit-neutral permit allocations,98.0,0,https://www.sciencedirect.com/science/article/pii/S0047272712001120
Guillermo Cruces; Ricardo Perez-Truglia; Martin Tetaz,"Centro de Estudios Distributivos Laborales y Sociales [Center for Social, Labor and Distributional Studies] (CEDLAS), Universidad Nacional de La Plata, La Plata, Argentina; IZA: Institute for the Study of Labor, Bonn, Germany; CONICET [National Scientific and Technical Research Council], Argentina; Economics Department, Harvard University, MA, USA",2013/02/01,Journal of Public Economics,Biased perceptions of income distribution and preferences for redistribution: Evidence from a survey experiment,98.0,0,https://www.sciencedirect.com/science/article/pii/S004727271200117X
,,2013/03/01,Journal of Public Economics,Editorial Board,99.0,0,https://www.sciencedirect.com/science/article/pii/S0047272713000364
Ayako Kondo; Hitoshi Shigeoka,"Faculty of Economics, Hosei University, 4342 Aiharacho, Machida, Tokyo, 194-0298, Japan; Department of Economics, Simon Fraser University, 8888 University Drive, WMC 4653, Burnaby, BC, Canada V5A 1S6",2013/03/01,Journal of Public Economics,"Effects of universal health insurance on health care utilization, and supply-side responses: Evidence from Japan",99.0,0,https://www.sciencedirect.com/science/article/pii/S0047272713000029
Kjetil Telle,"Statistics Norway, Research Department, Box 8131 Dept., NO-0033 Oslo, Norway",2013/03/01,Journal of Public Economics,Monitoring and enforcement of environmental regulations: Lessons from a natural field experiment in Norway,99.0,0,https://www.sciencedirect.com/science/article/pii/S0047272713000145
Marco Castillo; Ragan Petrie; Maximo Torero; Lise Vesterlund,"George Mason University, United States; International Food Policy Research Institute, United States; University of Pittsburgh, United States; NBER, United States",2013/03/01,Journal of Public Economics,Gender differences in bargaining outcomes: A field experiment on discrimination,99.0,0,https://www.sciencedirect.com/science/article/pii/S0047272713000042
Johannes Spinnewijn,"London School of Economics and CEPR, UK",2013/03/01,Journal of Public Economics,Training and search during unemployment,99.0,0,https://www.sciencedirect.com/science/article/pii/S0047272713000157
Etienne Lehmann; François Marical; Laurence Rioux,"ERMES (TEPP) University Panthéon-Assas, France; CREST, France; INSEE, France; CREST (INSEE), France",2013/03/01,Journal of Public Economics,Labor income responds differently to income-tax and payroll-tax reforms,99.0,0,https://www.sciencedirect.com/science/article/pii/S0047272713000170
,,2013/04/01,Journal of Public Economics,Editorial Board,100.0,0,https://www.sciencedirect.com/science/article/pii/S0047272713000558
Tahir Andrabi; Jishnu Das; Asim Ijaz Khwaja,"Pomona College, United States; Development Research Group, World Bank, United States; Kennedy School of Government, Harvard University, United States",2013/04/01,Journal of Public Economics,"Students today, teachers tomorrow: Identifying constraints on the provision of education",100.0,0,https://www.sciencedirect.com/science/article/pii/S0047272712001387
Armin Falk; Christian Zehnder,"University of Bonn, Germany; University of Lausanne, Switzerland",2013/04/01,Journal of Public Economics,A city-wide experiment on trust discrimination,100.0,0,https://www.sciencedirect.com/science/article/pii/S0047272713000182
Jun Nakabayashi,"Institute of Social and Economic Research, Osaka University, Mihogaoka 6-1, Ibaraki, Osaka 567-0047, Japan",2013/04/01,Journal of Public Economics,Small business set-asides in procurement auctions: An empirical analysis,100.0,0,https://www.sciencedirect.com/science/article/pii/S0047272713000169
Veronica Guerrieri; Daniel Hartley; Erik Hurst,"University of Chicago, United States; NBER, United States; Federal Reserve Bank of Cleveland, United States",2013/04/01,Journal of Public Economics,Endogenous gentrification and housing price dynamics,100.0,0,https://www.sciencedirect.com/science/article/pii/S0047272713000297
Matthew Wiswall,"Arizona State University, W.P. Carey School of Business, Department of Economics, United States",2013/04/01,Journal of Public Economics,The dynamics of teacher quality,100.0,0,https://www.sciencedirect.com/science/article/pii/S0047272713000194
Filipe R. Campante; Daniel A. Hojman,"Harvard Kennedy School, Harvard University, 79 JFK Street, Cambridge, MA 02138, USA; Facultad de Economía y Negocios, Universidad de Chile, Diagonal Paraguay 257, Santiago, Chile",2013/04/01,Journal of Public Economics,Media and polarization: Evidence from the introduction of broadcast TV in the United States,100.0,0,https://www.sciencedirect.com/science/article/pii/S0047272713000340
Hubert Kempf; Stéphane Rossignol,"Ecole Normale Supérieure de Cachan and Paris School of Economics, France; LED, Université Paris 8 — Saint-Denis, France",2013/04/01,Journal of Public Economics,National politics and international agreements,100.0,0,https://www.sciencedirect.com/science/article/pii/S0047272713000030
,,2013/05/01,Journal of Public Economics,Editorial Board,101.0,0,https://www.sciencedirect.com/science/article/pii/S0047272713000807
Lingsheng Meng,"Department of Economics, School of Economics and Management, Tsinghua University, Beijing 100084, China",2013/05/01,Journal of Public Economics,Evaluating China's poverty alleviation program: A regression discontinuity approach,101.0,0,https://www.sciencedirect.com/science/article/pii/S0047272713000327
Neil Bruce; Stephen J. Turnovsky,"Department of Economics, University of Washington, Seattle WA 98195, United States",2013/05/01,Journal of Public Economics,"Social security, growth, and welfare in overlapping generations economies with or without annuities",101.0,0,https://www.sciencedirect.com/science/article/pii/S0047272713000443
Alexander Gelber; Adam Isen,"The Wharton School, University of Pennsylvania, 1400 Steinberg Hall-Dietrich Hall, 3620 Locust Walk, Philadelphia, PA 19104, United States",2013/05/01,Journal of Public Economics,Children's schooling and parents' behavior: Evidence from the Head Start Impact Study,101.0,0,https://www.sciencedirect.com/science/article/pii/S0047272713000339
Jens Großer; Ernesto Reuben,"Florida State University and Institute for Advanced Study, Princeton, United States; Columbia University, United States; IZA, Germany",2013/05/01,Journal of Public Economics,Redistribution and market efficiency: An experimental study,101.0,0,https://www.sciencedirect.com/science/article/pii/S0047272713000303
Celeste K. Carruthers; Marianne H. Wanamaker,"University of Tennessee, 702 Stokely Management Center, Knoxville, TN 37996-0570, United States; University of Tennessee, 524 Stokely Management Center, Knoxville, TN 37996-0550, United States",2013/05/01,Journal of Public Economics,Closing the gap? The effect of private philanthropy on the provision of African-American schooling in the U.S. south,101.0,0,https://www.sciencedirect.com/science/article/pii/S0047272713000315
Ronald B. Davies,"University College Dublin, Ireland",2013/05/01,Journal of Public Economics,The silver lining of red tape,101.0,0,https://www.sciencedirect.com/science/article/pii/S0047272713000480
Shanthi Ramnath,"U.S. Department of the Treasury, Office of Tax Analysis, 1500 Pennsylvania Ave, Washington, DC 20220, United States",2013/05/01,Journal of Public Economics,Taxpayers' responses to tax-based incentives for retirement savings: Evidence from the Saver's Credit notch,101.0,0,https://www.sciencedirect.com/science/article/pii/S0047272713000479
Daniel F. Stone,"Bowdoin College, Brunswick, ME, USA",2013/05/01,Journal of Public Economics,Media and gridlock,101.0,0,https://www.sciencedirect.com/science/article/pii/S0047272713000455
Matthew E. Kahn; Erin T. Mansur,"UCLA Institute of the Environment, La Kretz Hall, Suite 300, 619 Charles E. Young Drive East, Box 951496, Los Angeles, CA 90095, United States; National Bureau of Economic Research, United States; Dartmouth College, Department of Economics, 6106 Rockefeller Hall, Hanover, NH 03755, United States",2013/05/01,Journal of Public Economics,Do local energy prices and regulation affect the geographic concentration of employment?,101.0,0,https://www.sciencedirect.com/science/article/pii/S0047272713000509
,,2013/06/01,Journal of Public Economics,Editorial Board,102.0,0,https://www.sciencedirect.com/science/article/pii/S0047272713000972
Darius Lakdawalla; Neeraj Sood,"University of Southern California, United States",2013/06/01,Journal of Public Economics,Health insurance as a two-part pricing contract,102.0,0,https://www.sciencedirect.com/science/article/pii/S0047272713000492
Piyush Chandra; Cheryl Long,"Colgate University, United States; Xiamen University, China",2013/06/01,Journal of Public Economics,VAT rebates and export performance in China: Firm-level evidence,102.0,0,https://www.sciencedirect.com/science/article/pii/S0047272713000534
Ferdinand Mittermaier; Johannes Rincke,"University of Munich, Seminar for Economic Policy, Akademiestrasse 1, 80799 Munich, Germany; University of Erlangen-Nuremberg, Department of Economics, Lange Gasse 20, 90403 Nuremberg, Germany",2013/06/01,Journal of Public Economics,Do countries compensate firms for international wage differentials?,102.0,0,https://www.sciencedirect.com/science/article/pii/S0047272713000510
Thomas Eichner; Rüdiger Pethig,"Department of Economics, University of Hagen, Universitätsstr. 41, 58097 Hagen, Germany; Department of Economics, University of Siegen, Hölderlinstr. 3, 57068 Siegen, Germany",2013/06/01,Journal of Public Economics,Self-enforcing environmental agreements and international trade,102.0,0,https://www.sciencedirect.com/science/article/pii/S0047272713000716
Maya Rossin-Slater,"Columbia University, Department of Economics, 1022 International Affairs Building, 420 West 118th Street, New York, NY 10027, United States",2013/06/01,Journal of Public Economics,WIC in your neighborhood: New evidence on the impacts of geographic access to clinics,102.0,0,https://www.sciencedirect.com/science/article/pii/S0047272713000741
,,2013/07/01,Journal of Public Economics,Editorial Board,103.0,0,https://www.sciencedirect.com/science/article/pii/S0047272713001163
Felix J. Bierbrauer; Pierre C. Boyer,"CMR – Center for Macroeconomic Research, University of Cologne, Albert-Magnus Platz, 50923 Köln, Germany; University of Mannheim, Department of Economics, 68131 Mannheim, Germany",2013/07/01,Journal of Public Economics,Political competition and Mirrleesian income taxation: A first pass,103.0,0,https://www.sciencedirect.com/science/article/pii/S0047272713000728
Matteo Cervellati; Paolo Vanin,"University of Bologna, Italy; IZA, Bonn, Germany; Department of Economics, Piazza Scaravilli 2, 40126 Bologna, Italy",2013/07/01,Journal of Public Economics,"“Thou shalt not covet”: Prohibitions, temptation and moral values",103.0,0,https://www.sciencedirect.com/science/article/pii/S0047272713000753
Michael Finus; Pedro Pintassilgo,"Department of Economics, University of Bath, Bath, BA2 7AY, UK; Faculty of Economics and Research Centre for Spatial and Organizational Dynamics, University of Algarve, Faro, Portugal",2013/07/01,Journal of Public Economics,The role of uncertainty and learning for the success of international climate agreements,103.0,0,https://www.sciencedirect.com/science/article/pii/S0047272713000777
Kohei Kawamura,"School of Economics, University of Edinburgh, United Kingdom",2013/07/01,Journal of Public Economics,Eliciting information from a large population,103.0,0,https://www.sciencedirect.com/science/article/pii/S0047272713000765
Ehud Guttel; Shmuel Leshem,"Hebrew University, Israel; University of Southern California, United States",2013/07/01,Journal of Public Economics,Bargaining around cost–benefit standards,103.0,0,https://www.sciencedirect.com/science/article/pii/S0047272713000522
Marc Fleurbaey; Gregory Ponthiere,"Princeton University, United States; Paris School of Economics and Ecole Normale Superieure, Paris, France",2013/07/01,Journal of Public Economics,Prevention against equality?,103.0,0,https://www.sciencedirect.com/science/article/pii/S004727271300073X
Sebastian Galiani; Patrick J. McEwan,"University of Maryland, United States; Wellesley College, United States",2013/07/01,Journal of Public Economics,The heterogeneous impact of conditional cash transfers,103.0,0,https://www.sciencedirect.com/science/article/pii/S0047272713000789
,,2013/08/01,Journal of Public Economics,Editorial Board,104.0,0,https://www.sciencedirect.com/science/article/pii/S0047272713001370
Emanuele Bracco,"Department of Economics, Lancaster University, Lancaster LA1 4YW, UK",2013/08/01,Journal of Public Economics,Optimal districting with endogenous party platforms,104.0,0,https://www.sciencedirect.com/science/article/pii/S0047272713000935
Pierre M. Picard; Bruno van Pottelsberghe de la Potterie,"CREA, University of Luxembourg, Luxembourg; CORE, Université catholique de Louvain, Belgium; Université Libre de Bruxelles (ULB), Solvay Brussels School of Economics and Management, iCite, ECARES and CEB, Belgium",2013/08/01,Journal of Public Economics,Patent office governance and patent examination quality,104.0,0,https://www.sciencedirect.com/science/article/pii/S0047272713000947
Marina Agranov; Andrew Schotter,"California Institute of Technology, Division of Humanities and Social Sciences, Mail code 228-77, Pasadena, CA 91125, USA; New York University, Department of Economics, 19 West 4th Street, 6th Floor, New York, NY 10012, USA",2013/08/01,Journal of Public Economics,Language and government coordination: An experimental study of communication in the announcement game,104.0,0,https://www.sciencedirect.com/science/article/pii/S0047272713000911
Steven Nyce; Sylvester J. Schieber; John B. Shoven; Sita Nataraj Slavov; David A. Wise,"Towers Watson, 901 North Glebe Road #600, Arlington, VA 22203, USA; Stanford University, Stanford Institute for Economic Policy Research, 366 Galvez Street, Stanford, CA 94305-6015, USA; American Enterprise Institute, 1150 17th Street NW, Washington, DC 20036, USA; Harvard University, John F. Kennedy School of Government, 79 Kennedy Street, Cambridge, MA 02138, USA; National Bureau of Economic Research, 1050 Massachusetts Ave., Cambridge, MA 02138, USA",2013/08/01,Journal of Public Economics,Does retiree health insurance encourage early retirement?,104.0,0,https://www.sciencedirect.com/science/article/pii/S0047272713000923
Paul Niehaus; Sandip Sukhtankar,"Department of Economics, University of California at San Diego, 9500 Gillman Drive #0508, San Diego, CA 92093-0508, United States; Department of Economics, Dartmouth College, 326 Rockefeller Hall, Hanover, NH 03755, United States",2013/08/01,Journal of Public Economics,The marginal rate of corruption in public programs: Evidence from India,104.0,0,https://www.sciencedirect.com/science/article/pii/S0047272713001084
Marco Bertoni; Giorgio Brunello; Lorenzo Rocco,"University of Padova and Centre for Economic Performance, LSE, Italy; University of Padova, IZA and CEsifo, Italy; University of Padova, Italy",2013/08/01,Journal of Public Economics,"When the cat is near, the mice won't play: The effect of external examiners in Italian schools",104.0,0,https://www.sciencedirect.com/science/article/pii/S0047272713000959
Mark Gersovitz,"Department of Economics, The Johns Hopkins University, United States",2013/08/01,Journal of Public Economics,Corrigendum to “Tax/Subsidy policies toward vector-borne infectious diseases”[J. Public Econ. 89 (2005) 647–674],104.0,0,https://www.sciencedirect.com/science/article/pii/S0047272713001254
Joseph J. Doyle; Krislert Samphantharak,"MIT Sloan School of Management, USA; NBER, USA; University of California, San Diego — Graduate School of International Relations and Pacific Studies, USA",2013/08/01,Journal of Public Economics,Erratum to “$2.00 gas! Studying the effects of a gas tax moratorium” [J. Public Econ. 2689 (2007) 869–884],104.0,0,https://www.sciencedirect.com/science/article/pii/S0047272713001102
,,2013/09/01,Journal of Public Economics,Editorial Board,105.0,0,https://www.sciencedirect.com/science/article/pii/S0047272713001503
Marcela Ibanez; Peter Martinsson,"Georg-August University of Göttingen, Germany; University of Gothenburg, Box 640, SE-40530 Göteborg, Sweden",2013/09/01,Journal of Public Economics,Curbing coca cultivation in Colombia — A framed field experiment,105.0,0,https://www.sciencedirect.com/science/article/pii/S004727271300090X
Marie-Laure Breuillé; Skerdilajda Zanaj,"INRA, UMR1041 CESAER, 26 Bd du Dr Petitjean, BP 87999, 21079 Dijon Cedex, France; CREA, University of Luxembourg, Campus Limpertsberg, Bâtiment Central 162a, Avenue de la Faïencerie, L-1511 Luxembourg, Luxembourg",2013/09/01,Journal of Public Economics,Mergers in fiscal federalism,105.0,0,https://www.sciencedirect.com/science/article/pii/S0047272713000467
Taro Kumano,"Yokohama National University, Japan",2013/09/01,Journal of Public Economics,Strategy-proofness and stability of the Boston mechanism: An almost impossibility result,105.0,0,https://www.sciencedirect.com/science/article/pii/S0047272713001242
Hiroshi Aiura; Hikaru Ogawa,"Faculty of Economics, Oita University, 700 Dannoharu, Oita 870-1192, Japan; School of Economics, Nagoya University, Furo-cho, Chikusa-ku, Nagoya 464-8601, Japan",2013/09/01,Journal of Public Economics,Unit tax versus ad valorem tax: A tax competition model with cross-border shopping,105.0,0,https://www.sciencedirect.com/science/article/pii/S004727271300128X
Ryan Bubb; Alex Kaufman,"New York University School of Law, United States; Board of Governors of the Federal Reserve System, United States",2013/09/01,Journal of Public Economics,Consumer biases and mutual ownership,105.0,0,https://www.sciencedirect.com/science/article/pii/S0047272713001266
Minchung Hsu; C.C. Yang,"National Graduate Institute For Policy Studies (GRIPS), Tokyo, Japan; Institute of Economics, Academia Sinica, Taiwan; Department of Public Finance, National Chengchi University, Taiwan; Department of Public Finance, Feng Chia University, Taiwan",2013/09/01,Journal of Public Economics,Optimal linear and two-bracket income taxes with idiosyncratic earnings risk,105.0,0,https://www.sciencedirect.com/science/article/pii/S0047272713001308
Sander Onderstal; Arthur J.H.C. Schram; Adriaan R. Soetevent,"University of Amsterdam, The Netherlands; Tinbergen Institute, The Netherlands; University of Groningen, The Netherlands",2013/09/01,Journal of Public Economics,Bidding to give in the field,105.0,0,https://www.sciencedirect.com/science/article/pii/S0047272713001072
Chris M. Herbst,"School of Public Affairs, Arizona State University, 411 N. Central Ave., Suite 480, Phoenix, AZ 85004-0687, United States and IZA",2013/09/01,Journal of Public Economics,The impact of non-parental child care on child development: Evidence from the summer participation “dip”,105.0,0,https://www.sciencedirect.com/science/article/pii/S0047272713001278
Mogens Fosgerau; André de Palma,"Technical University of Denmark, Bygningstorvet 116 V, 2800 Kgs. Lyngby, Denmark; Royal Institute of Technology, Sweden; Ecole Normale Supérieure de Cachan, Centre d'économie de la Sorbonne, France",2013/09/01,Journal of Public Economics,The dynamics of urban traffic congestion and the price of parking,105.0,0,https://www.sciencedirect.com/science/article/pii/S0047272713001321
Amine Ouazad; Lionel Page,"INSEAD, France; Queensland University of Technology, Australia",2013/09/01,Journal of Public Economics,Students' perceptions of teacher biases: Experimental economics in schools,105.0,0,https://www.sciencedirect.com/science/article/pii/S0047272713001096
Maarten C.M. Vendrik,"Maastricht University, The Netherlands",2013/09/01,Journal of Public Economics,"Adaptation, anticipation and social interaction in happiness: An integrated error-correction approach",105.0,0,https://www.sciencedirect.com/science/article/pii/S0047272713001333
,,2013/10/01,Journal of Public Economics,Editorial Board,106.0,0,https://www.sciencedirect.com/science/article/pii/S0047272713001783
Hugo E. Silva; Erik T. Verhoef,"Department of Spatial Economics, VU University Amsterdam, De Boelelaan 1105, 1081 HV Amsterdam, The Netherlands",2013/10/01,Journal of Public Economics,Optimal pricing of flights and passengers at congested airports and the efficiency of atomistic charges,106.0,0,https://www.sciencedirect.com/science/article/pii/S004727271300131X
Silvana Krasteva; Huseyin Yildirim,"Department of Economics, Texas A&M University, Allen 3054, College Station, TX 77843, United States; Department of Economics, Duke University, Box 90097, Durham, NC 27708, United States",2013/10/01,Journal of Public Economics,(Un)Informed charitable giving,106.0,0,https://www.sciencedirect.com/science/article/pii/S0047272713001357
Sarah Baird; Craig McIntosh; Berk Özler,"University of Otago, New Zealand; University of California at San Diego, United States; World Bank",2013/10/01,Journal of Public Economics,The regressive demands of demand-driven development,106.0,0,https://www.sciencedirect.com/science/article/pii/S0047272713001461
Paul Eckerstorfer; Ronald Wendner,"Department of Economics, University of Linz, Austria; Department of Economics, University of Graz, Austria",2013/10/01,Journal of Public Economics,"Asymmetric and non-atmospheric consumption externalities, and efficient consumption taxation",106.0,0,https://www.sciencedirect.com/science/article/pii/S0047272713001473
Simon Burgess; Deborah Wilson; Jack Worth,"CMPO, University of Bristol, 2 Priory Road, Bristol BS8 1TX, UK; Department of Economics, University of Bristol, 2 Priory Road, Bristol BS8 1TX, UK",2013/10/01,Journal of Public Economics,A natural experiment in school accountability: The impact of school performance information on pupil progress,106.0,0,https://www.sciencedirect.com/science/article/pii/S0047272713001291
