,Authors,Title,Affiliations,Published Date,Journal Name ,Subjects,Volume,Issue,DOI,URL
10,CHOTIBHAK JOTIKASTHIRA; CHRISTIAN LUNDBLAD; TARUN RAMADORAI,Asset Fire Sales and Purchases and the International Transmission of Funding Shocks,"
TARUN RAMADORAI
Jotikasthira and Lundblad are at the University of North Carolina, Chapel Hill; Ramadorai is at Saïd Business School, Oxford-Man Institute of Quantitative Finance, and CEPR. A special thanks to Simon Ringrose and Emerging Portfolio Fund Research (EPFR) for providing the data and for numerous helpful discussions, to Matthew Ringgenberg for research assistance, and to the BNP Paribas Hedge Fund Centre at HEC for financial support. We are grateful for comments from Andrew Karolyi (Acting Editor) and two anonymous referees, Viral Acharya, John Campbell, Cam Harvey, Donghui Li, Ludovic Phalippou, Michael Schill, Ajay Shah, and Dimitri Vayanos. Thanks also to seminar participants at BI, the Oxford-Man Institute, Duke, UNC, the Eccles School of Business, Universidade Nova de Lisboa, Queen Mary University of London, Stockholm School of Economics, NC State, Imperial College, University of Piraeus, University of Miami, University of Toronto, the NIPFP-DEA Conference, the Darden International Finance Conference, the American Finance Association Meetings, and the Financial Intermediation Research Society.Search for more papers by this author",2012/12/01,The Journal of Finance,Economics and Econometrics; Finance; Accounting,67.0,6.0,10.1111/j.1540-6261.2012.01780.x,http://dx.doi.org/10.1111/j.1540-6261.2012.01780.x
11,DAVID A. CHAPMAN; VALERY POLKOVNICHENKO,"First-Order Risk Aversion, Heterogeneity, and Asset Market Outcomes","
VALERY POLKOVNICHENKO
Chapman is at Boston College and Polkovnichenko is at the University of Texas at Dallas. Polkovnichenko acknowledges financial support from a Business and Economics Research Grant of the McKnight Foundation at the University of Minnesota. We would like to thank an anonymous referee; Nick Barberis; John Campbell; Wayne Ferson; Iraj Fooladi; Evan Gatev; Campbell Harvey (the editor); Erzo Luttmer, Maureen O'Hara; Neil Pearson; Bryan Routledge; Jeremy Stein; and workshop participants at Boston College, Harvard University, McGill University, and the 2005 WFA meetings for helpful comments.Search for more papers by this author",2009/08/01,The Journal of Finance,Economics and Econometrics; Finance; Accounting,64.0,4.0,10.1111/j.1540-6261.2009.01482.x,http://dx.doi.org/10.1111/j.1540-6261.2009.01482.x
12,JOHN H. COCHRANE,A Mean-Variance Benchmark for Intertemporal Portfolio Theory,"
JOHN H. COCHRANE
John H. Cochrane is at the University of Chicago Booth School of Business, National Bureau of Economic Research, Hoover Institution, and Cato Institute. I thank the Center for Research in Securities Prices and the Guggenheim Foundation for research support. I thank John Campbell, Campbell Harvey, Lars Hansen, John Heaton, Ian Martin, Alan Moreira, Yoshio Nozawa, Diogo Palhares, Richard Roll, referees, and many seminar participants for helpful comments.Search for more papers by this author",2014/02/01,The Journal of Finance,Economics and Econometrics; Finance; Accounting,69.0,1.0,10.1111/jofi.12099,http://dx.doi.org/10.1111/jofi.12099
13,DAVID H. PYLE,"Minutes of the Annual Membership Meeting, January 7, 2012",,2012/08/01,The Journal of Finance,Economics and Econometrics; Finance; Accounting,67.0,4.0,10.1111/j.1540-6261.2012.01756.x,http://dx.doi.org/10.1111/j.1540-6261.2012.01756.x
14,JUAN‐PEDRO GÓMEZ; RICHARD PRIESTLEY; FERNANDO ZAPATERO,Implications of Keeping-Up-with-the-Joneses Behavior for the Equilibrium Cross Section of Stock Returns: International Evidence,"
FERNANDO ZAPATERO
Gómez is with the IE Business School, Madrid, Priestley is with the Department of Financial Economics, Norwegian School of Management, and Zapatero is with FBE, Marshall School of Business, USC. Gómez and Zapatero thank the Spanish MICINN for their generous support through research project number ECO2008-02333-RWC. We thank Limei Che and Dmitri Kantsyrev for excellent research assistance. Many helpful comments and suggestions from an anonymous referee are gratefully acknowledged. We also thank Ilan Cooper, Peter DeMarzo, Valery Polkovnichenko, Rosa Rodríguez, Tano Santos, Sergei Sarkissian, Robert Stambaugh (the Editor), Lucie Tepla, Raman Uppal, and Madhu Veeraraghavan for helpful comments. We would especially like to thank John Griffin, who generously provided us with the Datastream codes to collect the stock return data in the United Kingdom, Japan, and Germany. The usual caveat applies.Search for more papers by this author",2009/12/01,The Journal of Finance,Economics and Econometrics; Finance; Accounting,64.0,6.0,10.1111/j.1540-6261.2009.01515.x,http://dx.doi.org/10.1111/j.1540-6261.2009.01515.x
15,JOONGHO HAN; KWANGWOO PARK; GEORGE PENNACCHI,Corporate Taxes and Securitization,"
GEORGE PENNACCHI
JoongHo Han is at Sungkyunkwan University, Kwangwoo Park is at the Korea Advanced Institute of Science and Technology, and George Pennacchi is at the University of Illinois. We are grateful for valuable comments from an anonymous referee, Adam Ashcraft, Mark Flannery, the Editor Campbell Harvey, Edward Kane, Hayne Leland, Greg Nini, and participants of the 2010 Financial Intermediation Research Society Conference and of seminars at Bocconi University, the Federal Deposit Insurance Corporation, the Federal Reserve Banks of Chicago and New York, KAIST, KDI School, Seoul National University, Sungkyunkwan University, Tilburg University, and the University of Venice. Hakkon Kim and Hyun-Dong Kim provided excellent research assistance.Search for more papers by this author",2015/06/01,The Journal of Finance,Economics and Econometrics; Finance; Accounting,70.0,3.0,10.1111/jofi.12157,http://dx.doi.org/10.1111/jofi.12157
16,HUI CHEN; ZHUO CHEN; ZHIGUO HE; JINYU LIU; RENGMING XIE,Pledgeability and Asset Prices: Evidence from the Chinese Corporate Bond Markets,"
Corresponding Author
ZHIGUO HE

[email protected]

Correspondence: Zhiguo He, University of Chicago Booth School of Business, 5807 South Woodlawn Ave., Chicago, IL 60637 and NBER; e-mail: [email protected].Search for more papers by this author; 
RENGMING XIEHui Chen is with MIT Sloan and NBER. Zhuo Chen is at PBC School of Finance, Tsinghua University. Zhiguo He is with Chicago Booth and NBER. Jinyu Liu is at School of Banking and Finance, University of International Business and Economics. Rengming Xie is with CITIC Securities. We are grateful to Amit Seru (the Editor), the Associate Editor, and two anonymous referees for many insightful suggestions. We thank Antje Berndt, Jia Chen, Jaewon Choi, Marco Di Maggio, Darrell Duffie, Peter Feldütter, Burton Hollifield, Jennifer Huang, Sebastian Infante, Anil Kashyap, Arvind Krishnamurthy, Kai Li, Yang Liu, Francis Longstaff, Konstantin Milbradt, Benjamin Munyan, Dmitry Orlov, Chris Palmer, Jun Pan, Lasse H. Pederson, Jun Qian, Andreas Rapp, Antoinette Schoar, Christopher Sims, Andrea Vedolin, Dora Xia, Constantine Yannelis, Tao Zha, Xiaoneng Zhu, and participants at Chicago Booth, MIT Sloan, Tsinghua PBC School of Finance, Shanghai Advanced Institute of Finance, Tsinghua SEM, CUFE, SWUFE, RUC, ZJU, UWA, CUHK Shenzhen, NYU Stern CGEB, Paul Woolley BIS Conference, IBEFA Summer Meeting, Guanghua International Symposium on Finance, Finance Down Under, FIRS Annual Meeting, Fudan Fanhai Summer Conference, MFM Summer School, LAEF OTC Markets Workshop, Erasmus Liquidity Conference, SFS Cavalcade NA, Mitsui Finance Symposium, CICF, CFRC, NBER Summer Institute, FRIC 2019, EFA Annual Meeting, NFA Annual Meeting, 2019 Greater Bay Area Summer Finance Conference, AFA Annual Meeting, NBER Chinese Economy, and IDC Conference for helpful comments. We thank Tianshu Lyu for excellent research assistance. Hui Chen and Zhiguo He acknowledges financial support from the Macro Finance Research Program's China Initiative at the University of Chicago. Zhuo Chen acknowledges financial support from National Natural Science Foundation of China (grant no. 72222004, 71790591, and 71790605) and Tsinghua University (grant no. 20225080020 and 100030060). Jinyu Liu acknowledges financial support from National Natural Science Foundation of China (grant no. 72173022, 71803018) and the University of International Business and Economics Project for Outstanding Young Scholars (grant no. 20JQ04). We have read TheJournal of Finance disclosure policy and have no conflicts of interest to disclose.Search for more papers by this author",2023/10/01,The Journal of Finance,Economics and Econometrics; Finance; Accounting,78.0,5.0,10.1111/jofi.13266,http://dx.doi.org/10.1111/jofi.13266
17,PEDRO BORDALO; NICOLA GENNAIOLI; ANDREI SHLEIFER,Diagnostic Expectations and Credit Cycles,"
ANDREI SHLEIFER
Pedro Bordalo is at Saïd Business School, University of Oxford. Nicola Gennaioli is at Universita Bocconi and IGIER. Andrei Shleifer is at Harvard University. Gennaioli thanks the European Research Council and Shleifer thanks the Pershing Square Venture Fund for Research on the Foundations of Human Behavior for financial support of this research. The authors are also grateful to Nicholas Barberis, Bruce Carlin, Lars Hansen, Sam Hanson, Arvind Krishnamurthy, Gordon Liao, Yueran Ma, Matteo Maggiori, Sendhil Mullainathan, Andreas Schaab, Josh Schwartzstein, Jesse Shapiro, Alp Simsek, Jeremy Stein, Amir Sufi, David Thesmar, Chari Varadarajan, Wei Xiong, Luigi Zingales, and two anonymous referees for helpful comments. The authors have no conflicts of interest to declare.Search for more papers by this author",2018/02/01,The Journal of Finance,Economics and Econometrics; Finance; Accounting,73.0,1.0,10.1111/jofi.12586,http://dx.doi.org/10.1111/jofi.12586
18,STAVROS PANAGEAS; MARK M. WESTERFIELD,"High-Water Marks: High Risk Appetites? Convex Compensation, Long Horizons, and Portfolio Choice","
MARK M. WESTERFIELDPanageas is from the Wharton School at the University of Pennsylvania and Westerfield is from the Marshall School at the University of Southern California. We are indebted to Domenico Cuoco for a very helpful discussion on a previous draft. We would also like to thank the associate editor; two anonymous referees; Andy Abel, Franklin Allen, Harry DeAngelo, Glenn Ellison, David Musto, Nick Souleles, and Anna Pavlova; and seminar participants at the MIT Theory Lunch, the Wharton Finance faculty lunch, and the Marshall School Center for Investment Studies Seminar for useful discussion and comments. Jianfeng Yu provided exceptional research assistance.Search for more papers by this author",2009/02/01,The Journal of Finance,Economics and Econometrics; Finance; Accounting,64.0,1.0,10.1111/j.1540-6261.2008.01427.x,http://dx.doi.org/10.1111/j.1540-6261.2008.01427.x
19,SOMNATH DAS; RE‐JIN GUO; HUAI ZHANG,Analysts' Selective Coverage and Subsequent Performance of Newly Public Firms,"
HUAI ZHANGDas and Guo are at the University of Illinois at Chicago, and Zhang is at the University of Hong Kong. We thank Eli Amir, Gilbert Bassett, Oleg Bondarenko, Konan Chan, Hsiu-lang Chen, Tim Kruse, Chao-Shin Liu, Malcolm McClelland, Roni Michaely, Tom Nohel, Ram Ramakrishnan, Cathy Schrand, Abbie Smith, Lenny Soffer, Wei-Ling Song, Robert Stambaugh (Editor), Steve Todd, Beverly Walther, Nan Zhou, an anonymous referee, and seminar participants at the City University of Hong Kong, Indiana University at Indianapolis, the London Business School, Nanyang Technological University, the Office of Economic Analysis at the U.S. Securities and Exchange Commission, Singapore Management University, Syracuse University, University of Illinois at Chicago, the 2003 Eastern Finance Association Meeting, the 2003 Midwest Finance Association Meeting, and the 2004 National Taiwan University International Conference on Finance for their helpful comments and suggestions. This paper received a “Best Paper Award” at the 2004 National Taiwan University International Conference on Finance. The authors gratefully acknowledge the contribution of Thomson Financial for providing forecast data through I/B/E/S. These data are provided as part of a broad academic program to encourage earnings expectations research. All errors remain ours.Search for more papers by this author",2006/06/01,The Journal of Finance,Economics and Econometrics; Finance; Accounting,61.0,3.0,10.1111/j.1540-6261.2006.00869.x,http://dx.doi.org/10.1111/j.1540-6261.2006.00869.x
20,ULF AXELSON; PER STRÖMBERG; MICHAEL S. WEISBACH,Why Are Buyouts Levered? The Financial Structure of Private Equity Funds,"
MICHAEL S. WEISBACH
Ulf Axelson is with the Stockholm School of Economics and SIFR. Per Strömberg is with the Stockholm School of Economics, SIFR, CEPR, and NBER. Michael S. Weisbach is with Ohio State University and NBER. We would like to thank an anonymous referee, Diego Garcia, Campbell Harvey (the editor), Bengt Holmström, Antoinette Schoar, and Jeremy Stein (the associate editor) for helpful comments, and seminar participants at University of Amsterdam, UC Berkeley, Boston College, CEPR Summer Institute 2005, University of Chicago, ECB-CFS, Emory University, Harvard University, Helsinki School of Economics, HKUST, University of Illinois at Urbana-Champaign, INSEAD, MIT, NBER 2005, Norwegian School of Economics, NYU, Oxford University, Paris-Dauphine University, Rutgers University, SSE Riga, Stockholm School of Economics, University of Texas, Vanderbilt University, Stockholm University, University of Virginia, Washington University, and WFA Meetings 2005.Search for more papers by this author",2009/08/01,The Journal of Finance,Economics and Econometrics; Finance; Accounting,64.0,4.0,10.1111/j.1540-6261.2009.01473.x,http://dx.doi.org/10.1111/j.1540-6261.2009.01473.x
21,THOMAS W. BATES,"Asset Sales, Investment Opportunities, and the Use of Proceeds","
THOMAS W. BATES
1Department of Finance, Alfred Lerner College of Business and Economics, University of Delaware, Newark, DE 19716
Thomas W. Bates is at the Department of Finance, Alfred Lerner College of Business and Economics, University of Delaware, Newark, DE 19716. This paper has benefited from comments provided by Jeffrey Allen, Craig Dunbar, Rick Green (the editor), Kathleen Kahle, Kenneth Lehn, Michael Lemmon, Erik Lie, Gershon Mandelker, and an anonymous referee. I also thank Natasha Apollovna and Maura Dietz for their valuable research assistanceSearch for more papers by this author",2005/02/01,The Journal of Finance,Economics and Econometrics; Finance; Accounting,60.0,1.0,10.1111/j.1540-6261.2005.00726.x,http://dx.doi.org/10.1111/j.1540-6261.2005.00726.x
22,MANJU PURI; REBECCA ZARUTSKIE,On the Life Cycle Dynamics of Venture-Capital- and Non-Venture-Capital-Financed Firms,"
REBECCA ZARUTSKIE
Manju Puri is at Duke University and the NBER and Rebecca Zarutskie is at Duke University. We thank Steve Kaplan (Acting Editor), two anonymous referees, seminar participants at Columbia University, Duke University, Harvard Business School, London Business School, Massachusetts Institute of Technology, National Institute of Public Finance and Policy in New Delhi, the New York Fed, the University of Illinois at Urbana-Champaign, the U.S. Census Bureau Center for Economic Studies, and participants and discussants at the Western Finance Association 2007 meeting, the European Finance Association 2007 meeting, the 2007 Corporate Finance Conference at Washington University in Saint Louis, and the Financial Intermediation Research Society 2008 conference for valuable comments and suggestions. We thank Kirk White and Bert Grider for their diligent assistance with the data and for helpful comments. David Braun, John Chang, Jeffrey Ding, Yangyang Guo, Steven He, Dianna Hu, Greg Johnston, Ethen Kang, Lexxe Keister, Anurag Kondapalli, Young See Kwon, Fiona Lee, Kathryn Li, Fei Long, Kevin Plattenburg, Peichun Wang, Pengpeng Wang, Monica Wood, Caroline Xie, Jie Yang, Shouyue Yu, Gang Zhang, Lucy Zheng, Yiwen Zhu, and Jeff Zuo provided excellent research assistance. The research in this paper was conducted while the authors were Special Sworn researchers of the U.S. Census Bureau at the Triangle Census Research Data Center. Research results and conclusions expressed are those of the authors and do not necessarily reflect the views of the U.S. Census Bureau. This paper has been screened to ensure that no confidential data are revealed.Search for more papers by this author",2012/12/01,The Journal of Finance,Economics and Econometrics; Finance; Accounting,67.0,6.0,10.1111/j.1540-6261.2012.01786.x,http://dx.doi.org/10.1111/j.1540-6261.2012.01786.x
23,Pierre Collin‐Dufresne; Robert S. Goldstein,Do Bonds Span the Fixed Income Markets? Theory and Evidence for Unspanned Stochastic Volatility,"
Robert S. GoldsteinPierre Collin-Dufresne is from the Graduate School of Industrial Administration, Carnegie Mellon University. Robert S. Goldstein is from Washington University, St. Louis. We thank Jesper Andreasen; Dave Backus; Dave Chapman; Darrell Duffie; Francis Longstaff; Claus Munk; Pedro Santa-Clara; Ken Singleton; Chris Telmer; Len Umantsev; Stan Zin; and seminar participants at the American Finance Association meetings in Atlanta 2002, the Texas Finance Festival, the 2001 Fixed Income Winter Conference at Stanford University, The European Finance Association Meetings in Barcelona 2001, The University of Connecticut, Columbia University, The University of Illinois, Penn State University, The University of Rochester, The University of Wisconsin, and Stanford University for helpful comments. All remaining errors are our own.Search for more papers by this author",2002/08/01,The Journal of Finance,Economics and Econometrics; Finance; Accounting,57.0,4.0,10.1111/1540-6261.00475,http://dx.doi.org/10.1111/1540-6261.00475
24,JOHN AMERIKS; ANDREW CAPLIN; STEVEN LAUFER; STIJN VAN NIEUWERBURGH,The Joy of Giving or Assisted Living? Using Strategic Surveys to Separate Public Care Aversion from Bequest Motives,,2011/04/01,The Journal of Finance,Economics and Econometrics; Finance; Accounting,66.0,2.0,10.1111/j.1540-6261.2010.01641.x,http://dx.doi.org/10.1111/j.1540-6261.2010.01641.x
25,ADAIR MORSE; VIKRAM NANDA; AMIT SERU,Are Incentive Contracts Rigged by Powerful CEOs?,"
AMIT SERU
Morse and Seru are with the Booth School of Business, University of Chicago, and Nanda is with the Georgia Institute of Technology, College of Management. We thank Lawrence Brown, Robert Bushman, Daniel Ferreira, Yaniv Grinstein, Campbell Harvey (the Editor), Charles Hadlock, Steve Kaplan, Joshua Rauh, Morten Sorensen, Anjan Thakor, the Associate Editor, an anonymous referee, and seminar participants at Arizona State, Alabama, Chicago GSB, Georgia State, Georgia Tech, Michigan, Vienna, Washington St. Louis (Olin), The American Finance Association 2006 meetings, The European Finance Association 2006 meetings, and the Financial Economics and Accounting conference at the University of North Carolina for their helpful comments and suggestions. We are responsible for all the errors.Search for more papers by this author",2011/10/01,The Journal of Finance,Economics and Econometrics; Finance; Accounting,66.0,5.0,10.1111/j.1540-6261.2011.01687.x,http://dx.doi.org/10.1111/j.1540-6261.2011.01687.x
