Author,Affiliation,Publication Date,Journal Title,Title,URL
Duncan C. Thomas,"
 Department of Preventive Medicine, University of Southern California, Los Angeles, CA, 90033",2000-3-1,Journal of the American Statistical Association,Some Contributions of Statistics to Environmental Epidemiology,https://www.tandfonline.com/doi/abs/10.1080/01621459.2000.10473932
David P. Harrington,"
 Dana-Farber Cancer Institute and Harvard School of Public Health, Boston, MA, 02115",2000-3-1,Journal of the American Statistical Association,The Randomized Clinical Trial,https://www.tandfonline.com/doi/abs/10.1080/01621459.2000.10473931
Clarice R. Weinberg; David B. Dunson,"
 Biostatistics Branch, National Institute of Environmental Health Sciences, Research Triangle Park, NC, 27709; 
 Biostatistics Branch, National Institute of Environmental Health Sciences, Research Triangle Park, NC, 27709",2000-3-1,Journal of the American Statistical Association,Some Issues in Assessing Human Fertility,https://www.tandfonline.com/doi/abs/10.1080/01621459.2000.10473928
Sander Greenland,"
 Department of Epidemiology, UCLA School of Public Health, Los Angeles, CA, 90095",2000-3-1,Journal of the American Statistical Association,Causal Analysis in the Health Sciences,https://www.tandfonline.com/doi/abs/10.1080/01621459.2000.10473924
J. O. Ramsay,"
 Department of Psychology, McGill University, Montreal, Quebec, Canada, H3A 1B1",2000-3-1,Journal of the American Statistical Association,Functional Components of Variation in Handwriting,https://www.tandfonline.com/doi/abs/10.1080/01621459.2000.10473894
Edsel A. Peña,"
 Department of Mathematics and Statistics, Bowling Green State University, Bowling Green, OH, 43403;
 Departments of Biostatistics and Statistics, University of Michigan, Ann Arbor, MI, 48103",2000-3-1,Journal of the American Statistical Association,Comment,https://www.tandfonline.com/doi/abs/10.1080/01621459.2000.10473900
Weijing Wang; Martin T. Wells,"
 Institute of Statistics, National Chiao-Tung University, Hsin-chu, Taiwan; 
 Department of Social Statistics, Cornell University, Ithaca, NY, 14851",2000-3-1,Journal of the American Statistical Association,Model Selection and Semiparametric Inference for Bivariate Failure-Time Data,https://www.tandfonline.com/doi/abs/10.1080/01621459.2000.10473899
B. S. Weir,"State University, Raleigh, NC, 27695-8203",2000-3-1,Journal of the American Statistical Association,Challenges Facing Statistical Genetics,https://www.tandfonline.com/doi/abs/10.1080/01621459.2000.10473933
Norman E. Breslow,"
 University of Washington, Seattle, WA, 98195",2000-3-1,Journal of the American Statistical Association,Statistics in the Life and Medical Sciences,https://www.tandfonline.com/doi/abs/10.1080/01621459.2000.10473922
Ranjini Natarajan; Robert E. Kass,"
 Division of Biostatistics, Department of Statistics, University of Florida, Gainesville, FL, 32611; 
 Department of Statistics, Carnegie-Mellon University, Pittsburgh, PA, 15213",2000-3-1,Journal of the American Statistical Association,Reference Bayesian Methods for Generalized Linear Mixed Models,https://www.tandfonline.com/doi/abs/10.1080/01621459.2000.10473916
A. Serroukh; A. T. Walden; D. B. Percival,"
 Department of Mathematics, Imperial College of Science, Technology & Medicine, London, SW7 2BZ, U.K.; 
 Department of Mathematics, Imperial College of Science, Technology & Medicine, London, SW7 2BZ, U.K.; 
 Applied Physics Laboratory, University of Washington, Seattle, WA, 98195;
 Mathsoft, Inc., Seattle, WA, 98109",2000-3-1,Journal of the American Statistical Association,Statistical Properties and Uses of the Wavelet Variance Estimator for the Scale Analysis of Time Series,https://www.tandfonline.com/doi/abs/10.1080/01621459.2000.10473913
Babette A. Brumback; Louise M. Ryan; Joel D. Schwartz; Lucas M. Neas; Paul C. Stark; Harriet A. Burge,"
 Department of Biostatistics, Harvard School of Public Health, Boston, MA, 02115; 
 Department of Biostatistics, Harvard School of Public Health, Boston, MA, 02115; 
 Department of Environmental Health, Harvard School of Public Health, Boston, MA, 02115; 
 Environmental Health and Epidemiology, Harvard School of Public Health, Boston, MA, 02115; 
 Department of Environmental Health, Harvard School of Public Health, Boston, MA, 02115; 
 Department of Environmental Health, Harvard School of Public Health, Boston, MA, 02115",2000-3-1,Journal of the American Statistical Association,"Transitional Regression Models, with Application to Environmental Time Series",https://www.tandfonline.com/doi/abs/10.1080/01621459.2000.10473895
Peter Guttorp,"
 National Research Center for Statistics and the Environment, University of Washington, Seattle, WA, 98195",2000-3-1,Journal of the American Statistical Association,Environmental Statistics,https://www.tandfonline.com/doi/abs/10.1080/01621459.2000.10473925
Rudolf Beran,"
 Department of Statistics, University of California, Berkeley, CA, 94720",2000-3-1,Journal of the American Statistical Association,React Scatterplot Smoothers: Superefficiency through Basis Economy,https://www.tandfonline.com/doi/abs/10.1080/01621459.2000.10473911
,,2000-3-1,Journal of the American Statistical Association,Telegraphic Reviews,https://www.tandfonline.com/doi/abs/10.1080/01621459.2000.10473936
,,2000-3-1,Journal of the American Statistical Association,Editorial Board Page,https://www.tandfonline.com/doi/abs/10.1080/01621459.2000.10473892
T. E. Raghunathan,"
 Institute for Social Research and Associate Professor of Biostatistics, University of Michigan, Ann Arbor, MI, 48106",2000-3-1,Journal of the American Statistical Association,Comment,https://www.tandfonline.com/doi/abs/10.1080/01621459.2000.10473903
Michael Akritas; Steven Arnold,"State University, State College, PA, 16802; State University, State College, PA, 16802",2000-3-1,Journal of the American Statistical Association,Asymptotics for Analysis of Variance When the Number of Levels is Large,https://www.tandfonline.com/doi/abs/10.1080/01621459.2000.10473915
Patrick J. Heagerty; Thomas Lumley,"
 Department of Biostatistics, University of Washington, Seattle, WA, 98195; 
 Department of Biostatistics, University of Washington, Seattle, WA, 98195",2000-3-1,Journal of the American Statistical Association,Window Subsampling of Estimating Functions with Application to Regression Models,https://www.tandfonline.com/doi/abs/10.1080/01621459.2000.10473914
Joel L. Horowitz; Charles F. Manski,"City, IA, 52242; 
 Department of Economics and Institute for Policy Research, Northwestern University, Evanston, IL, 60208",2000-3-1,Journal of the American Statistical Association,Nonparametric Analysis of Randomized Experiments with Missing Covariate and Outcome Data,https://www.tandfonline.com/doi/abs/10.1080/01621459.2000.10473902
Adrian E. Raftery; Martin A. Tanner; Martin T. Wells,,2000-3-1,Journal of the American Statistical Association,Statistics in the Year 2000: Vignettes,https://www.tandfonline.com/doi/abs/10.1080/01621459.2000.10473921
Joseph L. Schafer; Nathaniel Schenker,"State University, University Park, PA, 16802; 
 Research and Methodology, National Center for Health Statistics, Hyattsville, MD, 20782",2000-3-1,Journal of the American Statistical Association,Inference with Imputed Conditional Means,https://www.tandfonline.com/doi/abs/10.1080/01621459.2000.10473910
Cyrus R. Mehta; Nitin R. Patel; Pralay Senchaudhuri,"
 Cytel Software Corporation, Cambridge, MA, 02139; 
 Sloan School of Management, Massachusetts Institute of Technology, Cambridge, MA, 02139; 
 Cytel Software Corporation, Cambridge, MA, 02139",2000-3-1,Journal of the American Statistical Association,Efficient Monte Carlo Methods for Conditional Logistic Regression,https://www.tandfonline.com/doi/abs/10.1080/01621459.2000.10473906
Thomas C. M. Lee,"
 Department of Statistics, Colorado State University, Fort Collins, CO, 80523",2000-3-1,Journal of the American Statistical Association,"A Minimum Description Length-Based Image Segmentation Procedure, and its Comparison with a Cross-Validation-Based Segmentation Procedure",https://www.tandfonline.com/doi/abs/10.1080/01621459.2000.10473919
Edwin S. Iversen Jr.; Giovanni Parmigiani; Donald A. Berry; Joellen M. Schildkraut,"
 Institute of Statistics and Decision Sciences, Duke University, Durham, NC, 27708; 
 Institute of Statistics and Decision Sciences, Duke University, Durham, NC, 27708; 
 Department of Biostatistics, The University of Texas M.D. Anderson Cancer Center, Houston, TX, 77030; 
 Department of Community and Family Medicine, Duke University Medical Center, Durham, NC, 27708",2000-3-1,Journal of the American Statistical Association,Genetic Susceptibility and Survival: Application to Breast Cancer,https://www.tandfonline.com/doi/abs/10.1080/01621459.2000.10473896
Weijing Wang; Martin T. Wells,,2000-3-1,Journal of the American Statistical Association,Rejoinder,https://www.tandfonline.com/doi/abs/10.1080/01621459.2000.10473901
Daniel Gianola,"
 Department of Animal Sciences, Department of Biostatistics and Medical Informatics, and Department of Dairy Science, University of Wisconsin, Madison, WI, 53706",2000-3-1,Journal of the American Statistical Association,Statistics in Animal Breeding,https://www.tandfonline.com/doi/abs/10.1080/01621459.2000.10473927
Art Owen; Yi Zhou Associate,"
 Department of Statistics, Stanford University, Stanford, CA, 94025",2000-3-1,Journal of the American Statistical Association,Safe and Effective Importance Sampling,https://www.tandfonline.com/doi/abs/10.1080/01621459.2000.10473909
Kenneth H. Pollock,"State University, Raleigh, North Carolina, 27695",2000-3-1,Journal of the American Statistical Association,Capture-Recapture Models,https://www.tandfonline.com/doi/abs/10.1080/01621459.2000.10473926
Arne Kovac; Bernard W. Silverman,"
 Mathematik und Informatik, Universität Gesamthochschule Essen, Germany; 
 School of Mathematics, University of Bristol, Bristol, BS8 1TW, U.K.",2000-3-1,Journal of the American Statistical Association,Extending the Scope of Wavelet Regression Methods by Coefficient-Dependent Thresholding,https://www.tandfonline.com/doi/abs/10.1080/01621459.2000.10473912
Chuanhai Liu,"
 Bell Laboratories, Lucent Technologies, Murray Hill, NJ, 07974",2000-3-1,Journal of the American Statistical Association,Estimation of Discrete Distributions with a Class of Simplex Constraints,https://www.tandfonline.com/doi/abs/10.1080/01621459.2000.10473907
Wing  Hung Wong,"
 University of California, Los Angeles, CA",2000-3-1,Journal of the American Statistical Association,Computational Molecular Biology,https://www.tandfonline.com/doi/abs/10.1080/01621459.2000.10473934
Jun S. Liu; Faming Liang; Wing  Hung Wong,"
 Department of Statistics, Stanford University, Stanford, CA, 94305; 
 Department of Statistics and Applied Probability, National University of Singapore, Singapore, 119260; 
 Department of Statistics, University of California, Los Angeles, CA, 90095",2000-3-1,Journal of the American Statistical Association,The Multiple-Try Method and Local Optimization in Metropolis Sampling,https://www.tandfonline.com/doi/abs/10.1080/01621459.2000.10473908
,,2000-3-1,Journal of the American Statistical Association,Book Reviews,https://www.tandfonline.com/doi/abs/10.1080/01621459.2000.10473935
David Oakes,"
 Department of Biostatistics, University of Rochester, Rochester, NY, 14642",2000-3-1,Journal of the American Statistical Association,Survival Analysis,https://www.tandfonline.com/doi/abs/10.1080/01621459.2000.10473923
Peter E. Roosi; Greg M. Allenby,"
 Graduate School of Business, University of Chicago, IL, 60637, USA; 
 Fisher College of Business, Ohio State University, Columbus, OH, 43210, USA",2000-6-1,Journal of the American Statistical Association,Statistics and Marketing,https://www.tandfonline.com/doi/abs/10.1080/01621459.2000.10474240
Judea Pearl,"
 University of California, Los Angeles, CA, 90024, USA",2000-6-1,Journal of the American Statistical Association,Comment,https://www.tandfonline.com/doi/abs/10.1080/01621459.2000.10474213
A. P. Dawid,,2000-6-1,Journal of the American Statistical Association,Rejoinder,https://www.tandfonline.com/doi/abs/10.1080/01621459.2000.10474218
Nathaniel L. Beck,"Jolla, CA, 92093, USA",2000-6-1,Journal of the American Statistical Association,Political Methodology: A Welcoming Discipline,https://www.tandfonline.com/doi/abs/10.1080/01621459.2000.10474244
S. A. Murphy; A. W. Van Der Vaart,,2000-6-1,Journal of the American Statistical Association,Rejoinder,https://www.tandfonline.com/doi/abs/10.1080/01621459.2000.10474225
C.  Hendricks Brown; Alka Indurkhya; Sheppard G. Kellam,"
 Department of Epidemiology and Bio-statistics, University of South Florida, Tampa, FL, 33612, USA; 
 Department of Epidemiology, Michigan State University, E. Lansing, MI, 48823, USA; 
 Department of Mental Hygiene, Johns Hopkins University, Baltimore, MD, 21224, USA",2000-6-1,Journal of the American Statistical Association,Power Calculations for Data Missing by Design: Applications to a Follow-Up Study of Lead Exposure and Attention,https://www.tandfonline.com/doi/abs/10.1080/01621459.2000.10474208
James M. Robins; Andrea Rotnitzky; Mark Van Der Laan,"
 Havard School of Public Health, Boston, MA, 02115, USA; 
 Havard School of Public Health, Boston, MA, 02115, USA; 
 School of Public Health, University of California, Berkeley, CA, USA",2000-6-1,Journal of the American Statistical Association,Comment,https://www.tandfonline.com/doi/abs/10.1080/01621459.2000.10474224
Shuying Li; Dennis K. Pearl; Hani Doss,"
 Cancer Prevention Research Group, Fred Hutchinson Cancer Research Center, Seattle, WA, 98104, USA; 
 Department of Statistics, Ohio State University, Columbus, OH, 43210, USA; 
 Department of Statistics, Ohio State University, Columbus, OH, 43210, USA",2000-6-1,Journal of the American Statistical Association,Phylogenetic Tree Construction Using Markov Chain Monte Carlo,https://www.tandfonline.com/doi/abs/10.1080/01621459.2000.10474227
Peter J. Bickel; Ya'Acov Ritov,"
 Department of Statistics, University of California, Berkeley, CA, USA; 
 Department of Statistics, Hebrew University, Jerusalem, Israel",2000-6-1,Journal of the American Statistical Association,Comment,https://www.tandfonline.com/doi/abs/10.1080/01621459.2000.10474220
Michael E. Sobel,"University, New York, NY, 10027, USA",2000-6-1,Journal of the American Statistical Association,Causal Inference in the Social Sciences,https://www.tandfonline.com/doi/abs/10.1080/01621459.2000.10474243
,,2000-6-1,Journal of the American Statistical Association,Book Reviews,https://www.tandfonline.com/doi/abs/10.1080/01621459.2000.10474249
Glenn Shafer,"
 Department of Accounting and Information Systems, Faculty of Management, Rutgers University, Newark, New Jersey, USA",2000-6-1,Journal of the American Statistical Association,Comment,https://www.tandfonline.com/doi/abs/10.1080/01621459.2000.10474216
Bing Li,"State University, 326 Thomas Building, University Park, PA, 16802, USA",2000-6-1,Journal of the American Statistical Association,Comment,https://www.tandfonline.com/doi/abs/10.1080/01621459.2000.10474222
James M. Robins; Sander Greenland,"
 Harvard School of Public Health, Boston, MA, 02115, USA; 
 UCLA School of Public Health, Los Angeles, CA, 90095, USA",2000-6-1,Journal of the American Statistical Association,Comment,https://www.tandfonline.com/doi/abs/10.1080/01621459.2000.10474214
Dennis D. Boos; Ji Zhang,"State University, Raleigh, NC, 27695, USA; 
 Clinical Biostatistics, Merck Research Laboratories, Rahway, NJ, 07065, USA",2000-6-1,Journal of the American Statistical Association,Monte Carlo Evaluation of Resampling-Based Hypothesis Tests,https://www.tandfonline.com/doi/abs/10.1080/01621459.2000.10474226
Ruey S. Tsay,"
 Graduate School of Business, University of Chicago, IL, 60637, USA",2000-6-1,Journal of the American Statistical Association,Time Series and Forecasting: Brief History and Future Research,https://www.tandfonline.com/doi/abs/10.1080/01621459.2000.10474241
,,2000-6-1,Journal of the American Statistical Association,Editorial Board Page,https://www.tandfonline.com/doi/abs/10.1080/01621459.2000.10474204
D. R. Cox,"
 Department of Statistics, Nuffield College, Oxford, U.K.",2000-6-1,Journal of the American Statistical Association,Comment,https://www.tandfonline.com/doi/abs/10.1080/01621459.2000.10474211
Verena M. Trenkel; David A. Elston; Stephen T. Buckland,"
 IFREMER, B.P. 21105, 44311 Nantes Cedex 3, France; 
 Environmental Modeling Unit, Biomathematics and Statistics Scotland, MLURI, Aberdeen, AB15 8QH, U.K.; 
 School of Mathematical and Computational Sciences, University of St. Andrews, St. Andrews, KY16 9SS, U.K.",2000-6-1,Journal of the American Statistical Association,Fitting Population Dynamics Models to Count and Cull Data Using Sequential Importance Sampling,https://www.tandfonline.com/doi/abs/10.1080/01621459.2000.10474206
Jason P. Fine; Ronald J. Bosch,"
 Department of Statistics and Department of Biostatistics and Medical Informatics, University of Wisconsin, Madison, WI, 53706, USA; 
 Department of Biostatistics and Center for Biostatistics in AIDS Research, Harvard University, Boston, MA, 02115, USA",2000-6-1,Journal of the American Statistical Association,"Risk Assessment via a Robust Probit Model, with Application to Toxicology",https://www.tandfonline.com/doi/abs/10.1080/01621459.2000.10474207
Ker-Chau Li; Heng-Hui Lue; Chun-Houh Chen,"
 Department of Statistics, University of California, Los Angeles, CA, 90095, USA; 
 Department of Statistics, Ming-Chuan University, Taipei, Taiwan; Sinica, Taipei, Taiwan",2000-6-1,Journal of the American Statistical Association,Interactive Tree-Structured Regression via Principal Hessian Directions,https://www.tandfonline.com/doi/abs/10.1080/01621459.2000.10474231
George Casella; Stephen R Schwartz,"
 Department of Biometrics, Cornell University, Ithaca, NY, 0000, USA; College, Ithaca, NY, 0000, USA",2000-6-1,Journal of the American Statistical Association,Comment,https://www.tandfonline.com/doi/abs/10.1080/01621459.2000.10474212
Adrian E. Raftery,"
 Department of Statistics, University of Washington, Seattle, WA, 98195, USA",2000-6-1,Journal of the American Statistical Association,"Statistics in Sociology, 1950–2000",https://www.tandfonline.com/doi/abs/10.1080/01621459.2000.10474245
Janice M. Weinberg; Stephen W. Lagakos,"
 Department of Epidemiology and Biostatistics, Boston University School of Public Health, Boston, MA, 02115, USA; 
 Department of Biostatistics, School of Public Health, Harvard University, Boston, MA, 02115, USA",2000-6-1,Journal of the American Statistical Association,"Asymptotic Behavior of Linear Permutation Tests under General Alternatives, with Application to Test Selection and Study Design",https://www.tandfonline.com/doi/abs/10.1080/01621459.2000.10474235
Jianqing Fan; Wing-Hung Wong,"
 Department of Statistics, Chinese University of Hong Kong; 
 Department of Statistics, University of California, Los Angeles, CA, 90095, USA",2000-6-1,Journal of the American Statistical Association,Comment,https://www.tandfonline.com/doi/abs/10.1080/01621459.2000.10474221
A. P. Dawid,"
 Department of Statistical Science, University College London, London, WC1E 6BT, U.K.",2000-6-1,Journal of the American Statistical Association,Causal Inference without Counterfactuals,https://www.tandfonline.com/doi/abs/10.1080/01621459.2000.10474210
Xiaotong Shen,"
 Department of Statistics, Ohio State University, Columbus, OH, 43210, USA",2000-6-1,Journal of the American Statistical Association,Comment,https://www.tandfonline.com/doi/abs/10.1080/01621459.2000.10474223
,,2000-6-1,Journal of the American Statistical Association,Telegraphic Reviews,https://www.tandfonline.com/doi/abs/10.1080/01621459.2000.10474250
,,2000-6-1,Journal of the American Statistical Association,Correction,https://www.tandfonline.com/doi/abs/10.1080/01621459.2000.10474251
Larry Wasserman,"
 Department of Statistics, Carnegie Mellon University, Pittsburgh, PA, 15213, USA",2000-6-1,Journal of the American Statistical Association,Comment,https://www.tandfonline.com/doi/abs/10.1080/01621459.2000.10474217
Stephen E. Fienberg,"
 Department of Statistics and Center for Automated Learning and Discovery, Carnegie Mellon University, Pittsburgh, PA, 15213, USA",2000-6-1,Journal of the American Statistical Association,Contingency Tables and Log-Linear Models: Basic Results and New Developments,https://www.tandfonline.com/doi/abs/10.1080/01621459.2000.10474242
Ying  Qing Chen; Mei-Cheng Wang,"
 Division of Biostatistics, School of Public Health, University of California, Berkeley, CA, 94720, USA; 
 Department of Biostatistics, School of Hygiene and Public Health, Johns Hopkins University, Baltimore, MD, 21205, USA",2000-6-1,Journal of the American Statistical Association,Analysis of Accelerated Hazards Models,https://www.tandfonline.com/doi/abs/10.1080/01621459.2000.10474236
Sarah M. Gray; Ron Brookmeyer,"
 Department of Mathematics and Statistics, Lancaster University, Lancaster, LA1 4YF, U.K.; 
 Department of Biostatistics, School of Hygiene and Public Health, Johns Hopkins University, Baltimore, MD, 21205, USA",2000-6-1,Journal of the American Statistical Association,"Multidimensional Longitudinal Data: Estimating a Treatment Effect from Continuous, Discrete, or Time-to-Event Response Variables",https://www.tandfonline.com/doi/abs/10.1080/01621459.2000.10474209
Mark P. Becker,"
 School of Public Health, University of Michigan, Ann Arbor, MI, 48109, USA",2000-6-1,Journal of the American Statistical Association,Statistics in Business and Social Science,https://www.tandfonline.com/doi/abs/10.1080/01621459.2000.10474238
Glen Meeden,"
 School of Statistics, University of Minnesota, Minneapolis, MN, 55455, USA",2000-6-1,Journal of the American Statistical Association,A Decision Theoretic Approach to Imputation in Finite Population Sampling,https://www.tandfonline.com/doi/abs/10.1080/01621459.2000.10474234
Henry S. Lynn; Charles E. McCulloch,"
 Rho, Inc., Chapel Hill, NC, 27514, USA; 
 Biometrics Unit, Department of Statistical Science, Cornell University, Ithaca, NY, 14853, USA",2000-6-1,Journal of the American Statistical Association,Using Principal Component Analysis and Correspondence Analysis for Estimation in Latent Variable Models,https://www.tandfonline.com/doi/abs/10.1080/01621459.2000.10474232
Theodore Eisenberg,"
 Cornell Law School, Ithaca, NY, 14853, USA",2000-6-1,Journal of the American Statistical Association,Empirical Methods and the Law,https://www.tandfonline.com/doi/abs/10.1080/01621459.2000.10474247
Donald B. Rubin,"
 Department of Statistics, Harvard University, Cambridge, MA, 02138, USA",2000-6-1,Journal of the American Statistical Association,Comment,https://www.tandfonline.com/doi/abs/10.1080/01621459.2000.10474215
Andrew W. Lo,"
 MIT Sloan School of Management, Cambridge, MA, 02142, USA",2000-6-1,Journal of the American Statistical Association,Finance: A Selective Survey,https://www.tandfonline.com/doi/abs/10.1080/01621459.2000.10474239
Michael W. Browne,"
 Department of Psychology and in the Department of Statistics, The Ohio State University, Columbus, OH, 43210, USA",2000-6-1,Journal of the American Statistical Association,Psychometrics,https://www.tandfonline.com/doi/abs/10.1080/01621459.2000.10474246
Wolfgang Polonik; Qiwei Yao,"
 Division of Statistics, University of California, Davis, CA, 95616, USA; 
 Department of Statistics, London School of Economies, London, WC2A 2AE, U.K.",2000-6-1,Journal of the American Statistical Association,Conditional Minimum Volume Predictive Regions for Stochastic Processes,https://www.tandfonline.com/doi/abs/10.1080/01621459.2000.10474228
Donald B. Rubin; Neal Thomas,"
 Department of Statistics, Harvard University, Cambridge, MA, 02138, USA; 
 Bristol-Myers Squibb Company, Wallingford, CT, 06492, USA",2000-6-1,Journal of the American Statistical Association,Combining Propensity Score Matching with Additional Adjustments for Prognostic Covariates,https://www.tandfonline.com/doi/abs/10.1080/01621459.2000.10474233
Xihong Lin; Raymond J. Carroll,"
 Department of Biostatistics, University of Michigan, Ann Arbor, MI, 48109, USA; 
 Departments of Statistics and Biostatistics & Epidemiology, Texas A&M University, College Station, TX, 77843, USA",2000-6-1,Journal of the American Statistical Association,Nonparametric Function Estimation for Clustered Data When the Predictor is Measured without/with Error,https://www.tandfonline.com/doi/abs/10.1080/01621459.2000.10474229
S. A. Murphy; A. W. Van Der Vaart,"
 ISR, Department of Statistics, University of Michigan, Ann Arbor, MI, 48109, USA; 
 Division of Mathematics and Computer Science, Vrije University, 1081 HV, Amsterdam, The Netherlands",2000-6-1,Journal of the American Statistical Association,On Profile Likelihood,https://www.tandfonline.com/doi/abs/10.1080/01621459.2000.10474219
Yijian Huang,"
 Division of Public Health Sciences, Fred Hutchinson Cancer Research Center, Seattle, Washington, 98109, USA",2000-6-1,Journal of the American Statistical Association,Two-Sample Multistate Accelerated Sojourn Times Model,https://www.tandfonline.com/doi/abs/10.1080/01621459.2000.10474237
Michael R. Elliott; Roderick J. A. Little,"
 Department of Biostatistics, University of Michigan, Ann Arbor, MI, 48109, USA; 
 Department of Biostatistics, University of Michigan, Ann Arbor, MI, 48109, USA",2000-6-1,Journal of the American Statistical Association,"A Bayesian Approach to Combining Information from a Census, a Coverage Measurement Survey, and Demographic Analysis",https://www.tandfonline.com/doi/abs/10.1080/01621459.2000.10474205
Yu Xie,"
 Department of Sociology, University of Michigan, Ann Arbor, MI, 48109, USA",2000-6-1,Journal of the American Statistical Association,"Demography: Past, Present, and Future",https://www.tandfonline.com/doi/abs/10.1080/01621459.2000.10474248
Andrey Feuerverger; Peter Hall,"
 Department of Statistics, University of Toronto, Ontario, M5S 3G3, Canada; 
 Centre for Mathematics and Its Applications, Australian National University, Canberra, ACT 0200, Australia",2000-6-1,Journal of the American Statistical Association,Methods for Density Estimation in Thick-Slice Versions of Wicksell's Problem,https://www.tandfonline.com/doi/abs/10.1080/01621459.2000.10474230
Jerry Lawless,"
 Department of Statistics and Actuarial Science, University of Waterloo, Canada",2000-9-1,Journal of the American Statistical Association,Statistics in Reliability,https://www.tandfonline.com/doi/abs/10.1080/01621459.2000.10474291
George T. Duncan; Sumitra Mukherjee,"
 Heinz School of Public Policy and Management and Department of Statistics, Carnegie Mellon University, Pittsburgh, PA, 15213, USA; Southeastern University, Davie, FL, 33314, USA",2000-9-1,Journal of the American Statistical Association,Optimal Disclosure Limitation Strategy in Statistical Databases: Deterring Tracker Attacks through Additive Noise,https://www.tandfonline.com/doi/abs/10.1080/01621459.2000.10474260
Richard Gerlach; Chris Carter; Robert Kohn,"
 School of Finance and Economics, University of Technology Sydney, Sydney, Australia; 
 Department of Information and Systems Management, Hong Kong University of Science and Technology, Kowloon, Hong Kong; 
 Australian Graduate School of Management, University of New South Wales, Sydney, 2052, Australia",2000-9-1,Journal of the American Statistical Association,Efficient Bayesian Inference for Dynamic Mixture Models,https://www.tandfonline.com/doi/abs/10.1080/01621459.2000.10474273
Matteo Fischetti; José  Juan Salazar González,"
 Department of Electronic and Informatics, University of Padova, 35131, Padova, Italy; Laguna, 38271, Tenerife, Spain",2000-9-1,Journal of the American Statistical Association,Models and Algorithms for Optimizing Cell Suppression in Tabular Data with Linear Constraints,https://www.tandfonline.com/doi/abs/10.1080/01621459.2000.10474282
