Author,Affiliation,Publication Date,Journal Title,Title,URL,,,,,,,,,,,,,,,,,,,,
Lisa Farrell; Roger Hartley; Gauthier Lanot; Ian Walker,"
 School of Economic Studies, Manchester University, Manchester, M13 9PL, United Kingdom E-mail: l.farrell@man.ac.uk; 
 Department of Economics, Keele University, Keele, Staffs, ST5 5BG, United Kingdom E-mail: r.hartley@keele.ac.uk; 
 Department of Economics, Keele University, Keele, Staffs, ST5 5BG, United Kingdom E-mail: g.lanot@keele.ac.uk; 
 Department of Economics, Keele University, Keele, Staffs, ST5 5BG, United Kingdom E-mail: i.walker@warwick.ac.uk",2000/4/1,Journal of Business & Economic Statistics,The Demand for Lotto: The Role of Conscious Selection,https://www.tandfonline.com/doi/abs/10.1080/07350015.2000.10524865,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Torben G. Andersen,"
 Department of Finance, J.L. Kellogg Graduate School of Management, Northwestern University, Evanston, IL, 60208 E-mail: t-andersen@nwu.edu",2000/4/1,Journal of Business & Economic Statistics,Some Reflections on Analysis of High-Frequency Data,https://www.tandfonline.com/doi/abs/10.1080/07350015.2000.10524857,,,,,,,,,,,,,,,,,,,,
Jonathan H. Wright,"
 International Finance Division, Board of Governors of the Federal Reserve System, Washington, DC, 20551 E-mail: Jonathan.h.wright@frb.gov",2000/4/1,Journal of Business & Economic Statistics,Confidence Sets for Cointegrating Coefficients Based on Stationarity Tests,https://www.tandfonline.com/doi/abs/10.1080/07350015.2000.10524863,,,,,,,,,,,,,,,,,,,,
Ruey S. Tsay,"
 Graduate School of Business, University of Chicago, Chicago, IL, 60637 E-mail: ruey.tsay@gsh.uchicago.edu",2000/4/1,Journal of Business & Economic Statistics,Editor's Introduction to Panel Discussion on Analysis of High-Frequency Data,https://www.tandfonline.com/doi/abs/10.1080/07350015.2000.10524855,,,,,,,,,,,,,,,,,,,,
Robert A. Wood,"
 The Fogelman College of Business and Economics, The University of Memphis, Memphis, TN, 38152 E-mail: rawood@pobox.com",2000/4/1,Journal of Business & Economic Statistics,Market Microstructure Research Databases: History and Projections,https://www.tandfonline.com/doi/abs/10.1080/07350015.2000.10524856,,,,,,,,,,,,,,,,,,,,
Kuan Xu,E-mail: kxu@is.dal.ca,2000/4/1,Journal of Business & Economic Statistics,Inference for Generalized Gini Indices Using the Iterated-Bootstrap Method,https://www.tandfonline.com/doi/abs/10.1080/07350015.2000.10524864,,,,,,,,,,,,,,,,,,,,
Bonnie K. Ray; Ruey S. Tsay,"
 Department of Mathematical Sciences and Center for Applied Math and Statistics, New Jersey Institute of Technology, Newark, NJ, 07102 E-mail: horayx@m.njitedu; 
 Graduate School of Business, University of Chicago, Chicago, IL, 60637 E-mail: ruey.tsay@gsb.uchicago.edu",2000/4/1,Journal of Business & Economic Statistics,Long-range Dependence in Daily Stock Volatilities,https://www.tandfonline.com/doi/abs/10.1080/07350015.2000.10524867,,,,,,,,,,,,,,,,,,,,
I. D. Vrontos; P. Dellaportas; D. N. Politis,"
 Department of Statistics, Athens University of Economics and Business, 10434, Athens, Greece; 
 Department of Statistics, Athens University of Economics and Business, 10434, Athens, Greece; Jolla, CA, 92093-0112",2000/4/1,Journal of Business & Economic Statistics,Full Bayesian Inference for GARCH and EGARCH Models,https://www.tandfonline.com/doi/abs/10.1080/07350015.2000.10524861,,,,,,,,,,,,,,,,,,,,
Jonathan H. Wright,"
 International Finance Division, Board of Governors of the Federal Reserve System, Washington, DC, 20551 E-mail: jonathan.h.wright@frb.gov",2000/7/1,Journal of Business & Economic Statistics,Confidence Intervals for Univariate Impulse Responses With a Near Unit Root,https://www.tandfonline.com/doi/abs/10.1080/07350015.2000.10524877,,,,,,,,,,,,,,,,,,,,
André J. Hoogstrate; Franz C. Palm; Gerard A. Pfann,"
 CentER, Tilburg University, NL-5000 LE Tilburg, The Netherlands E-mail: a.j.hoogstrate@kub.nl; 
 Faculty of Economics and Business Administration, Maastricht University, NL-6200 MD Maastricht, The Netherlands E-mail: f.palm@ke.unimaas.nl; 
 Faculty of Economics and Business Administration, Maastricht University, NL-6200 MD Maastricht, The Netherlands;
 Centre for Economic Policy Research, London, NW1 45A, United Kingdom E-mail: g.pfann@ke.unimaas.nl",2000/7/1,Journal of Business & Economic Statistics,Pooling in Dynamic Panel-Data Models: An Application to Forecasting GDP Growth Rates,https://www.tandfonline.com/doi/abs/10.1080/07350015.2000.10524870,,,,,,,,,,,,,,,,,,,,
Jiahui Wang; Eric Zivot,"Analysis Products Division, MathSoft, Inc., Seattle, WA, 98109 E-mail: jwang@statsci.com; 
 Department of Economics, University of Washington, Seattle, WA, 98195 E-mail: ezivot@u.washington.edu",2000/7/1,Journal of Business & Economic Statistics,"A Bayesian Time Series Model of Multiple Structural Changes in Level, Trend, and Variance",https://www.tandfonline.com/doi/abs/10.1080/07350015.2000.10524878,,,,,,,,,,,,,,,,,,,,
Gary Koop; Jacek Osiewalski; Mark  F. J. Steel,"
 Department of Economics, University of Edinburgh, Edinburgh, EH8 9JY, United Kingdom E-mail: g.koop@ed.ac.uk; 
 Department of Econometrics, Academy of Economics, Kraków 31-510, Poland E-mail: eeosiewa@cyf-kr.edu.pl; 
 Department of Economics, University of Edinburgh, Edinburgh, EH8 9JY, United Kingdom E-mail: mark.steel@ed.ac.uk",2000/7/1,Journal of Business & Economic Statistics,Modeling the Sources of Output Growth in a Panel of Countries,https://www.tandfonline.com/doi/abs/10.1080/07350015.2000.10524871,,,,,,,,,,,,,,,,,,,,
Sergio Pastorello; Eric Renault; Nizar Touzi,"
 Dipartimento di Scienze Economiche, Universit? di Bologna, Bologna, Italy E-mail: pastorel@ecomia.unibo.it; 
 Université Paris Dauphine, and CREST, 35170, Bruz, France E-mail: erenault@ensai.fr; 
 CERMSEM, Université Paris Pantheon-Sorbonne, Paris, France E-mail: touzi@univ_paris1.fr",2000/7/1,Journal of Business & Economic Statistics,Statistical Inference for Random-Variance Option Pricing,https://www.tandfonline.com/doi/abs/10.1080/07350015.2000.10524876,,,,,,,,,,,,,,,,,,,,
Boris Freidlin; Joseph L. Gastwirth,"
 National Cancer Institute, Bethesda, MD, 20892-7434 E-mail: freidlinb@ctep.nci.nih.gov; 
 Department of Statistics, George Washington University, Washington, DC, 20052 E-mail: jlgast@research.circ.gwu.edu",2000/7/1,Journal of Business & Economic Statistics,Changepoint Tests Designed for the Analysis of Hiring Data Arising in Employment Discrimination Cases,https://www.tandfonline.com/doi/abs/10.1080/07350015.2000.10524873,,,,,,,,,,,,,,,,,,,,
Omar Aguilar; Mike West,"
 Merril Lynch Quantitative Research, Merrill Lynch Mexico, 1100 Mexico City, Mexico; 
 Institute of Statistics and Decision Sciences, Duke University, Durham, NC, 27708-0251 E-mail: mw@stat.duke.edu",2000/7/1,Journal of Business & Economic Statistics,Bayesian Dynamic Factor Models and Portfolio Allocation,https://www.tandfonline.com/doi/abs/10.1080/07350015.2000.10524875,,,,,,,,,,,,,,,,,,,,
Francis X. Diebold; Lutz Kilian,"
 Department of Finance, Stern School of Business, New York University, New York, NY, 10012;
 Department of Economics, University of Pennsylvania, Philadelphia, PA, 19104;
 National Bureau of Economic Research; 
 Department of Economics, University of Michigan, Ann Arbor, Ml, 48109-1220;
 Centre for Economic Policy Research,  E-mail: lkilian@umich.edu",2000/7/1,Journal of Business & Economic Statistics,Unit-Root Tests Are Useful for Selecting Forecasting Models,https://www.tandfonline.com/doi/abs/10.1080/07350015.2000.10524869,,,,,,,,,,,,,,,,,,,,
Herman J. Bierens,"State University, University Park, PA, 16802",2000/7/1,Journal of Business & Economic Statistics,"Nonparametric Nonlinear Cotrending Analysis, With an Application to Interest and Inflation in the United States",https://www.tandfonline.com/doi/abs/10.1080/07350015.2000.10524874,,,,,,,,,,,,,,,,,,,,
Frank  de Jong,"
 Department of Finance, University of Amsterdam, Amsterdam, Netherlands E-mail: fdejong@fee.uva.nl",2000/7/1,Journal of Business & Economic Statistics,Time Series and Cross-section Information in Affine Term-Structure Models,https://www.tandfonline.com/doi/abs/10.1080/07350015.2000.10524872,,,,,,,,,,,,,,,,,,,,
Scott E. Pammer; Duncan  K. H. Fong; Steven F. Arnold,"
                   
               Minitab, Inc., State College, Pennsylvania, 16801 E-mail: spammer@minitab.com; State University, University Park, Pennsylvania, 16802 E-mail: i2v@psu.edu; State University, University Park, Pennsylvania, 16802 E-mail: sfa@stat.psu.edu",2000/10/1,Journal of Business & Economic Statistics,Forecasting the Penetration of a New Product?�A Bayesian Approach,https://www.tandfonline.com/doi/abs/10.1080/07350015.2000.10524882,,,,,,,,,,,,,,,,,,,,
Lisbeth  La Cour; Ronald MacDonald,"
                   
               Department of Economics, Copenhagen Business School, DK 1366 Copenhagen K, Denmark E-mail: llc.eco@cbs.dk; 
                   
               Department of Economics, University of Strathclyde, Glasgow, G4 OLN, United Kingdom E-mail: r.r.macdonald@strath.ac.uk",2000/10/1,Journal of Business & Economic Statistics,Modeling the ECU Against the U.S. Dollar: A Structural Monetary Interpretation,https://www.tandfonline.com/doi/abs/10.1080/07350015.2000.10524883,,,,,,,,,,,,,,,,,,,,
Amos Golan; Larry S. Karp; Jeffrey M. Perloff,"
                   
               Department of Economics, American University, Washington, DC, 20016-8029 E-mail: agolan@american.edu; 
                   
               Department of Agricultural and Resource Economics, University of California, Berkeley, CA, 94720 E-mail: karp@are.berkeley.edu; 
                   
               Department of Agricultural and Resource Economics, University of California, Berkeley, CA, 94720 E-mail: karp@are.berkeley.edu",2000/10/1,Journal of Business & Economic Statistics,Estimating Coke's and Pepsi's Price and Advertising Strategies,https://www.tandfonline.com/doi/abs/10.1080/07350015.2000.10524880,,,,,,,,,,,,,,,,,,,,
Pentti Saikkonen; Helmut Lütkepohl,"
                   
               Department of Statistics, University of Helsinki, FIN-00014 University of Helsinki, Finland E-mail: saikkone@valthelsinki.fi; 
                   
               Institut für Statistik und ?konometrie, Wirtschaftswissenschaftliche Fakultät, Humboldt-University, 10178, Berlin, Germany E-mail: luetke@wiwi.hu-beriin.de",2000/10/1,Journal of Business & Economic Statistics,Testing for the Cointegrating Rank of a VAR Process With Structural Shifts,https://www.tandfonline.com/doi/abs/10.1080/07350015.2000.10524884,,,,,,,,,,,,,,,,,,,,
Christian E. Weber,"
                   
               Department of Economics and Finance, Seattle University, Seattle, WA, 98122 E-mail: cweber@seattleu.edu",2000/10/1,Journal of Business & Economic Statistics,"?�Rule-of-Thumb??Consumption, Intertemporal Substitution, and Risk Aversion",https://www.tandfonline.com/doi/abs/10.1080/07350015.2000.10524888,,,,,,,,,,,,,,,,,,,,
Michael Smith,E-mail: mikes@econ.usyd.edu.au,2000/10/1,Journal of Business & Economic Statistics,Modeling and Short-Term Forecasting of New South Wales Electricity System Load,https://www.tandfonline.com/doi/abs/10.1080/07350015.2000.10524885,,,,,,,,,,,,,,,,,,,,
Philip A. Shively,"
                   
               Department of Economics and Business, Lafayette College, Easton, PA, 18042 E-mail: shivelyp@mail.lafayette.edu",2000/10/1,Journal of Business & Economic Statistics,Stationary Components in Stock Prices: An Exact Pointwise Most Powerful Invariant Test,https://www.tandfonline.com/doi/abs/10.1080/07350015.2000.10524887,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Buhong Zheng; John P. Formby; W.  James Smith; Victor K. Chow,"
                   
               Department of Economics, University of Colorado at Denver, Denver, CO, 80217 E-mail: huhong.zheng@cudenver.edu; 
                   
               Department of Economics, University of Alabama, Finance;
                   
               Legal Studies, Tuscaloosa, AL, 35487; 
                   
               Department of Economics, University of Colorado at Denver, Denver, CO, 80217; University, Morgantown, WV, 26506",2000/10/1,Journal of Business & Economic Statistics,"Inequality Orderings, Normalized Stochastic Dominance, and Statistical Inference",https://www.tandfonline.com/doi/abs/10.1080/07350015.2000.10524886,,,,,,,,,,,,,,,,,,,,
John C. Ham; Kris Jacobs,"
                   
               Department of Economics, Ohio State University, Columbus, OH, 43210-1172 E-mail: johnham@economics.sbs.ohio-state.edu; E-mail: jacobs@management.mcgill.ca",2000/10/1,Journal of Business & Economic Statistics,Testing for Full Insurance Using Exogenous Information,https://www.tandfonline.com/doi/abs/10.1080/07350015.2000.10524879,,,,,,,,,,,,,,,,,,,,
Hans  van Ophem,"
                   
               Department of Quantitative Economics and Tinbergen Institute, Faculty of Economics and Econometrics, University of Amsterdam, 1018 WB Amsterdam, The Netherlands E-mail: hvo@fee.uva.nl",2000/10/1,Journal of Business & Economic Statistics,Modeling Selectivity in Count-Data Models,https://www.tandfonline.com/doi/abs/10.1080/07350015.2000.10524889,,,,,,,,,,,,,,,,,,,,
Ignacio N. Lobato; Carlos Velasco,"
                   
               Centro de Investigació n Económica, Instituto Tecnológico Autónomo de México, México D.F. 10700, México E-mail: ilobato@itam.mx; y Estadística, Universidad Carlos III de Madrid, 28911 Leganós (Madrid), Spain E-mail: cavelas@est-econ.uc3m.es",2000/10/1,Journal of Business & Economic Statistics,Long Memory in Stock-Market Trading Volume,https://www.tandfonline.com/doi/abs/10.1080/07350015.2000.10524881,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Jonas Andersson,"University, SE 751 20, Uppsala, Sweden ",2001/1/1,Journal of Business & Economic Statistics,On the Normal Inverse Gaussian Stochastic Volatility Model,https://www.tandfonline.com/doi/abs/10.1198/07350010152472607,,,,,,,,,,,,,,,,,,,,
Mikael Gredenhoff; Tor Jacobson," Department of Economic Statistics, Stockholm School of Economics, 113 83 Stockholm, Sweden ;  Sveriges Riksbank, 103 37 Stockholm, Sweden ",2001/1/1,Journal of Business & Economic Statistics,Bootstrap Testing Linear Restrictions on Cointergrating Vectors,https://www.tandfonline.com/doi/abs/10.1198/07350010152472625,,,,,,,,,,,,,,,,,,,,
Enrique De Alba; Manuel Mendoza,"y Seguros, Instituto Tecnológico Autónomo de México (ITAM), México 01000 D.F., México ;  Departamento de Estadística, Instituto Tecnológico Autónomo de México (ITAM), México 01000 D.F., México ",2001/1/1,Journal of Business & Economic Statistics,Forecasting an Accumulated Series Based on Partial Accumulation,https://www.tandfonline.com/doi/abs/10.1198/07350010152472652,,,,,,,,,,,,,,,,,,,,
Jae H Kim,,2001/1/1,Journal of Business & Economic Statistics,Bootstrap-After-Bootstrap Prediction Intervals for Autoregressive Models,https://www.tandfonline.com/doi/abs/10.1198/07350010152472670,,,,,,,,,,,,,,,,,,,,
Jan Beran; Dirk Ocker," Department of Mathematics and Statistics, University of Konstanz, 78457 Konstanz, Germany ;  Swiss Union of Raiffeisenbanks, St Gallen, Switzerland ",2001/1/1,Journal of Business & Economic Statistics,Volatility of Stock-Market Indexes?�An Analysis Based on SEMIFAR Models,https://www.tandfonline.com/doi/abs/10.1198/07350010152472661,,,,,,,,,,,,,,,,,,,,
Lucio Picci," Dipartimento di Scienze Economiche, Universitá di Bologna, I-40125 Bologna, Italy ",2001/1/1,Journal of Business & Economic Statistics,Explaining Long- and Short-Run Interactions in Time Series Data,https://www.tandfonline.com/doi/abs/10.1198/07350010152472643,,,,,,,,,,,,,,,,,,,,
Kenneth D West," Department of Economics, University of Wisconsin, Madison, WI 53706 ",2001/1/1,Journal of Business & Economic Statistics,Tests for Forecasts Encompassing When Forecasts Depend on Estimated Regression Parameters,https://www.tandfonline.com/doi/abs/10.1198/07350010152472580,,,,,,,,,,,,,,,,,,,,
J. M. C. Santos Silva,"de Lisboa, 1200 Lisboa, Portugal ",2001/1/1,Journal of Business & Economic Statistics,Influence Diagnostics and Estimation Algorithms for Powell's SCLS,https://www.tandfonline.com/doi/abs/10.1198/07350010152472616,,,,,,,,,,,,,,,,,,,,
Michael Rockinger; Giovanni Urga," HEC?�School of Management, Department of Finance, 78351 Jouy en Josas, France ;  City University Business School, Department of Investment, Risk Management and Insurance, Frobisher Crescent, Barbican Centre, London EC2Y 8HB, United Kingdom ",2001/1/1,Journal of Business & Economic Statistics,A Time Varying Parameter Model to Test for Predictability and Integration in the Stock Markets of Transition Economies,https://www.tandfonline.com/doi/abs/10.1198/07350010152472634,,,,,,,,,,,,,,,,,,,,
Allan W Gregory; Gregor W Smith; James Yetman,"; ;  Research Department, Bank of Canada, Ottawa, Ontario, K1A 0G9, Canada",2001/1/1,Journal of Business & Economic Statistics,Testing for Forecast Consensus,https://www.tandfonline.com/doi/abs/10.1198/07350010152472599,,,,,,,,,,,,,,,,,,,,
Joshua D Angrist," Department of Economics, Massachusetts Institute of Technology, Cambridge, MA 02142-1347, and National Bureau of Economic Research, Cambridge, MA ",2001/1/1,Journal of Business & Economic Statistics,Estimation of Limited Dependent Variable Models With Dummy Endogenous Regressors,https://www.tandfonline.com/doi/abs/10.1198/07350010152472571,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Ronald Huisman; Kees G Koedijk; Clemens J. M Kool; Franz Palm," Erasmus University, 3000 DR Rotterdam, The Netherlands ;  Maastricht University, 6200 MD Maastricht, The Netherlands and CEPR ;  Maastricht University, 6200 MD Maastricht, The Netherlands  ;  Maastricht University, 6200 MD Maastricht, The Netherlands  ",2001/4/1,Journal of Business & Economic Statistics,Tail-Index Estimates in Small Samples,https://www.tandfonline.com/doi/abs/10.1198/073500101316970421,,,,,,,,,,,,,,,,,,,,
Christopher R Bollinger; Martin H David," Department of Economics, University of Kentucky, Lexington, KY 40506 ;  Department of Economics, University of Wisconsin, Madison, WI 53706 ",2001/4/1,Journal of Business & Economic Statistics,Estimation With Response Error and Nonresponse,https://www.tandfonline.com/doi/abs/10.1198/073500101316970368,,,,,,,,,,,,,,,,,,,,
Michael Magdalinos; Helen Kandilorou," Department of Economics, Athens University of Economics and Business, Athens 104-34, Greece ;  Department of Statistics, Athens University of Economics and Business, Athens 104-34, Greece ",2001/4/1,Journal of Business & Economic Statistics,Specification Analysis in Equations With Stochastic Regressors,https://www.tandfonline.com/doi/abs/10.1198/073500101316970449,,,,,,,,,,,,,,,,,,,,
Walter Enders; Pierre L Siklos," Department of Economics, Finance and Legal Studies, University of Alabama, Tuscaloosa, AL 35487 ; ",2001/4/1,Journal of Business & Economic Statistics,Cointegration and Threshold Adjustment,https://www.tandfonline.com/doi/abs/10.1198/073500101316970395,,,,,,,,,,,,,,,,,,,,
A. M. Robert Taylor; Richard J Smith," Department of Economics, University of Birmingham, Birmingham B15 2TT, United Kingdom ;  Department of Economics, University of Bristol, Bristol BS8 ITN, United Kingdom ",2001/4/1,Journal of Business & Economic Statistics,Tests of the Seasonal Unit-Root Hypothesis Against Heteroscedastic Seasonal Integration,https://www.tandfonline.com/doi/abs/10.1198/073500101316970412,,,,,,,,,,,,,,,,,,,,
Tülin Erdem; Baohong Sun," Haas School of Business, University of California, Berkeley, CA 94720-1900 ;  Graduate School of Industrial Administration, Carnegie Mellon University, Pittsburgh, PA 15213 3890 ",2001/4/1,Journal of Business & Economic Statistics,Testing for Choice Dynamics in Panel Data,https://www.tandfonline.com/doi/abs/10.1198/073500101316970377,,,,,,,,,,,,,,,,,,,,
Ralph D Snyder; J. Keith Ord; Anne B Koehler,";  McDonough School of Business, Georgetown University, Washington, DC 20057 ;  Department of Decision Sciences and Management Information Systems, Miami University, Oxford, OH 45056 ",2001/4/1,Journal of Business & Economic Statistics,Prediction Intervals for ARIMA Models,https://www.tandfonline.com/doi/abs/10.1198/073500101316970430,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Bjørn Eraker," Department of Econometrics and Statistics, Graduate School of Business, University of Chicago, Chicago, IL 60637 ",2001/4/1,Journal of Business & Economic Statistics,MCMC Analysis of Diffusion Models With Application to Finance,https://www.tandfonline.com/doi/abs/10.1198/073500101316970403,,,,,,,,,,,,,,,,,,,,
A. Kamil Tahmiscioglu," Department of Economics, University of Wisconsin-Milwaukee, Milwaukee, WI 53201 ",2001/4/1,Journal of Business & Economic Statistics,Intertemporal Variation in Financial Constraints on Investment,https://www.tandfonline.com/doi/abs/10.1198/073500101316970386,,,,,,,,,,,,,,,,,,,,
Dong Wan Shin; Oesook Lee,120-750  ; 120-750  ,2001/4/1,Journal of Business & Economic Statistics,Tests for Asymmetry in Possibly Nonstationary Time Series Data,https://www.tandfonline.com/doi/abs/10.1198/073500101316970458,,,,,,,,,,,,,,,,,,,,
A. B. M. Rabiul A Beg; Mervyn J Silvapulle; Paramsothy Silvapulle,; ; ,2001/4/1,Journal of Business & Economic Statistics,Tests Against Inequality Constraints When Some Nuisance Parameters Are Present Only Under the Alternative,https://www.tandfonline.com/doi/abs/10.1198/073500101316970467,,,,,,,,,,,,,,,,,,,,
Peter Burridge; A. M. Robert Taylor," Department of Economics, City University, London EC1V 0HB, United Kingdom ;  Department of Economics, University of Birmingham, Birmingham B15 2TT, United Kingdom ",2001/7/1,Journal of Business & Economic Statistics,On the Properties of Regression-Based Tests for Seasonal Unit Roots in the Presence of Higher-Order Serial Correlation,https://www.tandfonline.com/doi/abs/10.1198/073500101681019918,,,,,,,,,,,,,,,,,,,,
